 	guardando	le	nuvole	sapevi	che	sta	per	piovere	</S>
a31	0.106536	0.120701	0.124819	0.0889227	0.115968	0.118673	0.118903	0.0973429	0.108135
a46	0.170362	0.217882	0.472611	0.0331272	0.0505866	0.0247787	0.0168305	0.00751848	0.00630351
a31	0.156109	0.164698	0.172129	0.0893793	0.132037	0.116783	0.0927248	0.0462198	0.0299202
a27	0.20855	0.242768	0.266672	0.0555533	0.0976674	0.0666459	0.0413498	0.0123825	0.00841136
a41	0.16476	0.168329	0.172758	0.0670943	0.12386	0.123029	0.0984298	0.039369	0.0423699
a1	0.155521	0.161336	0.166879	0.0689318	0.124959	0.126077	0.105217	0.044706	0.0463738
a21	0.132116	0.134597	0.138151	0.0663031	0.118953	0.12902	0.122379	0.0666111	0.0918701
a31	0.127917	0.129921	0.133117	0.0659852	0.116834	0.127611	0.1233	0.0712088	0.104105
a13	0.175588	0.188011	0.197416	0.0485341	0.105829	0.123205	0.0939483	0.0243688	0.0431004
a31	0.142489	0.146154	0.150066	0.0673574	0.122086	0.128854	0.1154	0.0573516	0.0702413
a41	0.181909	0.197076	0.205908	0.0459727	0.102437	0.117179	0.0877399	0.0221411	0.0396373
a35	0.161513	0.169535	0.17444	0.0641486	0.123735	0.122011	0.0988841	0.0420436	0.0436893
a31	0.129886	0.133534	0.137032	0.0599153	0.11746	0.127836	0.123669	0.0682814	0.102387
a14	0.174648	0.192094	0.200358	0.0467163	0.105944	0.11842	0.0911845	0.0261825	0.0444515
a28	0.163248	0.180229	0.187673	0.0564471	0.122652	0.119402	0.0945966	0.0368108	0.0389411
a31	0.137785	0.150666	0.158514	0.0487774	0.120843	0.132688	0.12067	0.0513701	0.0786857
a0	0.167709	0.199155	0.210917	0.0399547	0.10418	0.1179	0.0912539	0.0240386	0.044892
a31	0.140653	0.159374	0.169239	0.038495	0.12009	0.129647	0.120979	0.0469715	0.0745519
a46	0.150791	0.197585	0.217926	0.0294866	0.105474	0.122573	0.099035	0.0236937	0.0534354
a17	0.139982	0.183122	0.209471	0.0178221	0.101154	0.124952	0.128203	0.0259433	0.0693492
</S>	0.112996	0.161071	0.197873	0.0162925	0.0994934	0.130633	0.144788	0.0286578	0.108195
