 	voglio	che	Maria	è	di	venire	domani	</S>
a8	0.110071	0.119842	0.113139	0.103743	0.135756	0.123171	0.153785	0.140494
a20	0.10967	0.139753	0.151581	0.15541	0.160359	0.146432	0.0994993	0.0372949
a8	0.104674	0.107892	0.129254	0.139625	0.163418	0.156482	0.134947	0.0637083
a20	0.0885488	0.0841635	0.107088	0.122406	0.160536	0.156824	0.158516	0.121917
a31	0.0838504	0.0765226	0.0989642	0.114876	0.173872	0.165769	0.169705	0.11644
a28	0.0910439	0.0648013	0.0796629	0.0836799	0.259722	0.177625	0.170598	0.0728673
a31	0.0908375	0.0805227	0.104587	0.120218	0.201337	0.177268	0.151201	0.0740293
a18	0.103721	0.0733092	0.0913171	0.0934389	0.264453	0.161904	0.140692	0.0711643
a31	0.0963296	0.09257	0.119562	0.134321	0.187744	0.166549	0.132773	0.0701503
a3	0.137315	0.0944506	0.112284	0.0997947	0.256597	0.1218	0.112483	0.065276
a31	0.111471	0.10903	0.135122	0.142541	0.1928	0.14981	0.102006	0.057219
a18	0.166153	0.114133	0.123637	0.0961407	0.241451	0.0906269	0.101759	0.0660988
a31	0.0886628	0.113437	0.14447	0.154448	0.182375	0.148717	0.10643	0.06146
a17	0.229821	0.146836	0.127752	0.0726641	0.2086	0.0462242	0.0971249	0.0709775
a20	0.0565366	0.0920401	0.139348	0.167225	0.189052	0.153219	0.125956	0.076624
a31	0.0860743	0.125276	0.151271	0.152823	0.174653	0.134988	0.10898	0.0659365
a20	0.230427	0.153565	0.114386	0.0557433	0.195742	0.035184	0.114073	0.100879
a31	0.0589722	0.097171	0.147708	0.174945	0.21058	0.135198	0.104913	0.0705123
a20	0.235572	0.152638	0.0956833	0.0401484	0.167319	0.0253856	0.135775	0.147479
a46	0.0617669	0.0911667	0.140103	0.178935	0.23225	0.117141	0.100334	0.0783033
a31	0.0488897	0.0723605	0.113347	0.166892	0.199802	0.134624	0.150926	0.113159
a46	0.192688	0.130641	0.0800283	0.0379958	0.157995	0.0296331	0.16199	0.209029
a8	0.0669248	0.0839225	0.113663	0.172622	0.211822	0.126663	0.128607	0.0957765
a39	0.0475484	0.0717642	0.109212	0.157032	0.193953	0.126846	0.1592	0.134446
a31	0.0388367	0.0731525	0.114605	0.147724	0.194697	0.137018	0.167887	0.126079
</S>	0.12867	0.102811	0.0657871	0.0310695	0.148259	0.0355783	0.198763	0.289062
