 	ho	messo	uno	specchio	sul	muro	</S>
a8	0.0734592	0.104419	0.128864	0.152188	0.153719	0.197328	0.190024
a31	0.130665	0.178887	0.182677	0.196942	0.185815	0.0945232	0.03049
a17	0.132685	0.219812	0.132588	0.285058	0.151017	0.0564952	0.0223447
a11	0.104785	0.139695	0.126254	0.252608	0.151774	0.139173	0.0857101
a31	0.0990002	0.131732	0.119037	0.235537	0.145457	0.154703	0.114534
a20	0.120983	0.156648	0.0768229	0.317919	0.118663	0.0987036	0.11026
a31	0.101862	0.140143	0.118034	0.266218	0.148365	0.131416	0.0939619
a37	0.123621	0.159588	0.0699777	0.312972	0.109963	0.0992976	0.12458
a24	0.104607	0.151914	0.118582	0.273386	0.148683	0.113903	0.0889246
a28	0.109095	0.158397	0.128066	0.253861	0.150108	0.111715	0.0887566
a31	0.0769858	0.125538	0.126442	0.238063	0.14881	0.157264	0.126897
a24	0.147373	0.20715	0.0821863	0.222396	0.10428	0.106261	0.130354
a35	0.094776	0.183333	0.153891	0.222129	0.160864	0.0998934	0.0851136
a31	0.0289506	0.0752352	0.123854	0.192501	0.215907	0.19923	0.164323
a20	0.163085	0.263833	0.043809	0.0849737	0.0597565	0.113953	0.27059
</S>	0.0448566	0.0939768	0.119997	0.183787	0.278016	0.147581	0.131785
