 	sto	ancora	cucinando	</S>
a20	0.0750518	0.226346	0.375361	0.323241
a31	0.175576	0.467105	0.248501	0.108818
a37	0.184456	0.330695	0.282228	0.202621
a20	0.0507893	0.277903	0.470239	0.201068
a31	0.0423619	0.202532	0.520697	0.234409
a30	0.0292216	0.144635	0.556503	0.269641
a46	0.0490895	0.167578	0.444309	0.339024
a31	0.00623913	0.0698945	0.608896	0.314971
a39	0.0115408	0.0657027	0.537089	0.385668
a15	0.00599706	0.0895847	0.526718	0.3777
a20	0.00217117	0.0699266	0.560568	0.367334
a22	0.00558736	0.105215	0.519227	0.369971
a31	0.00369082	0.0990626	0.52938	0.367867
a46	0.00336845	0.0722679	0.490588	0.433776
</S>	0.00769489	0.0900399	0.511332	0.390933
