 	qui	ancora	stanno	con	la	luce	accesa	e	stanno	svegli	</S>
a31	0.0872526	0.0971453	0.0985795	0.0989054	0.0994682	0.0993998	0.0924116	0.0786173	0.0788745	0.0857003	0.0836456
a23	0.0210246	0.0247037	0.0464364	0.127744	0.201351	0.235836	0.186424	0.115979	0.0358266	0.00300985	0.00166568
a31	0.0643362	0.0913152	0.110501	0.112115	0.106778	0.10313	0.102018	0.109333	0.108659	0.065815	0.0259995
a23	0.0349775	0.0667376	0.12626	0.149728	0.144753	0.134189	0.113524	0.113313	0.0914781	0.0179272	0.00711347
a10	0.0995053	0.111509	0.10887	0.100829	0.0889964	0.0818962	0.0800141	0.0960769	0.108704	0.0835516	0.0400478
a31	0.0859431	0.107553	0.112469	0.105845	0.0933849	0.0849289	0.0804891	0.0967207	0.113508	0.0820352	0.0371228
a37	0.118916	0.141673	0.131	0.113177	0.0918343	0.0771185	0.0606391	0.0760848	0.111331	0.0577837	0.0204416
a27	0.0976797	0.116148	0.116198	0.107772	0.0946787	0.0864934	0.0811349	0.094187	0.106664	0.0699035	0.0291403
a31	0.0984534	0.105044	0.0997027	0.092281	0.0826316	0.0781082	0.0780923	0.0888359	0.096138	0.0982781	0.0824345
a44	0.116871	0.131048	0.12632	0.115744	0.100254	0.0876121	0.0714035	0.0771917	0.0944988	0.0550398	0.0240172
a23	0.103458	0.110483	0.100664	0.0947118	0.0936547	0.105501	0.10098	0.0752826	0.0634072	0.077163	0.0746938
a37	0.0962278	0.0996522	0.0955529	0.0912872	0.0865555	0.0859769	0.08599	0.0862462	0.0845734	0.0930132	0.0949247
a38	0.0971796	0.103552	0.0989868	0.0919564	0.0820317	0.0764308	0.0760495	0.0882305	0.0994534	0.0995682	0.0865616
a46	0.0981966	0.104957	0.0979801	0.08946	0.0791003	0.0749556	0.0756352	0.086509	0.0938878	0.101627	0.0976916
a31	0.0964608	0.100416	0.0961355	0.0910841	0.084785	0.0826293	0.0829456	0.0873588	0.0887138	0.095364	0.0941069
a28	0.103373	0.110984	0.10662	0.0995112	0.0888612	0.0814646	0.0753036	0.0810633	0.0983472	0.0897237	0.0647488
a31	0.0983591	0.10652	0.100503	0.0919317	0.0806827	0.0751415	0.0750532	0.0879611	0.099582	0.100155	0.0841096
a14	0.113724	0.123493	0.117581	0.10844	0.0953613	0.0859016	0.074304	0.0752695	0.0925911	0.0701172	0.0432166
a31	0.0996006	0.106191	0.102138	0.0969765	0.0907048	0.08916	0.0876686	0.0874669	0.0870471	0.0850103	0.068036
a20	0.118805	0.1309	0.125193	0.116217	0.103393	0.0931283	0.0745088	0.0647107	0.0783214	0.0583253	0.036498
a31	0.105209	0.113162	0.105652	0.0997721	0.0961422	0.101671	0.0974029	0.0802431	0.0709648	0.0717629	0.0580173
a20	0.120984	0.138602	0.132973	0.124515	0.113223	0.103573	0.074416	0.0505274	0.059642	0.0495275	0.0320168
a31	0.108757	0.120494	0.108166	0.100753	0.0988924	0.113481	0.104783	0.0710846	0.0591239	0.0621649	0.0522997
a20	0.119833	0.149456	0.143148	0.135258	0.127287	0.120682	0.0719844	0.0325258	0.0362965	0.0375944	0.0259344
a10	0.107535	0.126078	0.108469	0.100404	0.101627	0.131902	0.114261	0.0601579	0.0490702	0.053224	0.0472737
a31	0.0891403	0.125616	0.110397	0.101379	0.0961777	0.116507	0.0987832	0.0549587	0.0525726	0.0762448	0.078223
a37	0.0881677	0.157868	0.147686	0.139545	0.132887	0.148406	0.0742384	0.0204229	0.024215	0.0370425	0.0295221
a38	0.088569	0.132825	0.11169	0.103188	0.102432	0.149049	0.113593	0.0459766	0.043662	0.0564327	0.0525827
</S>	0.066298	0.106265	0.0928673	0.0903952	0.0908058	0.145087	0.117352	0.0587463	0.0563001	0.0786026	0.0972796
