 	Marika	è	che	si	sposa	domani	</S>
a27	0.170301	0.0814526	0.0645823	0.132713	0.124911	0.224642	0.201399
a37	0.057797	0.10057	0.162108	0.226504	0.219596	0.160702	0.0727228
a31	0.0468026	0.0434821	0.10917	0.273584	0.256115	0.203704	0.0671422
a11	0.0434161	0.024045	0.0588803	0.334497	0.274081	0.211122	0.053958
a31	0.0381022	0.0239738	0.0585942	0.256951	0.239241	0.26771	0.115429
a37	0.0362943	0.0132334	0.0277365	0.255293	0.221771	0.331257	0.114414
a31	0.041041	0.0198185	0.0477093	0.275452	0.241465	0.270981	0.103533
a6	0.0398583	0.00993483	0.0211764	0.22571	0.192072	0.357784	0.153464
a20	0.0412717	0.0241697	0.0545315	0.24806	0.221174	0.270633	0.14016
a31	0.0542957	0.0122368	0.0239291	0.205943	0.163335	0.34669	0.193571
a20	0.0984	0.00860428	0.0136261	0.132275	0.0818137	0.388652	0.276629
a31	0.11033	0.0074733	0.009582	0.10064	0.0615186	0.391214	0.319242
a0	0.144949	0.00611429	0.00686494	0.0550302	0.0380462	0.33019	0.418805
a20	0.103354	0.00691333	0.00777222	0.0594163	0.0529165	0.331403	0.438226
a31	0.0644973	0.00638399	0.00711164	0.0421507	0.0449455	0.301668	0.533243
</S>	0.087897	0.0105943	0.009428	0.0460225	0.0473234	0.281319	0.517416
