 	devo	comprare	il	pane	ogni	giorno	</S>
a8	0.11994	0.148163	0.147144	0.149385	0.149119	0.147627	0.138622
a31	0.151535	0.179097	0.181403	0.177529	0.161779	0.105543	0.0431147
a10	0.211086	0.225427	0.20533	0.170041	0.105833	0.0594493	0.0228336
a20	0.195272	0.175905	0.15889	0.157882	0.136137	0.110631	0.0652835
a10	0.1746	0.154884	0.140507	0.144077	0.135625	0.142632	0.107676
a31	0.18246	0.156622	0.13825	0.141561	0.130253	0.14108	0.109775
a14	0.216338	0.189819	0.159968	0.151216	0.11405	0.094963	0.0736465
a31	0.18445	0.170258	0.156012	0.156292	0.139234	0.11669	0.0770655
a37	0.216271	0.205559	0.173972	0.154979	0.105652	0.0801434	0.0634245
a31	0.18501	0.178617	0.16457	0.161657	0.137577	0.102734	0.0698361
a46	0.211842	0.225947	0.189307	0.152149	0.0921273	0.0708721	0.0577552
</S>	0.132127	0.16401	0.161569	0.162595	0.156147	0.132081	0.0914704
