 	se	avevo	visto	nuvole	avevo	capito	che	stava	per	piovere	</S>
a31	0.0799002	0.0905098	0.0952531	0.0957069	0.0950396	0.095684	0.0946166	0.0901509	0.0870722	0.08664	0.0894266
a17	0.037435	0.08823	0.199867	0.22023	0.188209	0.143355	0.072872	0.0262469	0.0154338	0.00472531	0.00339672
a31	0.109552	0.111801	0.114959	0.114773	0.109373	0.109099	0.0975842	0.071699	0.0591357	0.045373	0.0566518
a17	0.131012	0.138856	0.146005	0.14539	0.135581	0.128968	0.0819865	0.0354199	0.028406	0.0121203	0.0162562
a20	0.113075	0.115829	0.120378	0.120052	0.111981	0.111597	0.0955135	0.0653304	0.0535886	0.0377958	0.054859
a8	0.112131	0.115508	0.11859	0.118478	0.114257	0.1137	0.101245	0.0637849	0.0511556	0.0417817	0.0493685
a20	0.0961888	0.099562	0.102308	0.102134	0.0975922	0.0976618	0.0899725	0.0857267	0.0822902	0.0613921	0.0851723
a31	0.102229	0.10415	0.106507	0.106408	0.102867	0.102782	0.0953069	0.079123	0.0694672	0.0586711	0.0724887
a46	0.130073	0.13302	0.141983	0.14124	0.126388	0.123421	0.084972	0.0393906	0.0336052	0.0167498	0.0291573
a31	0.0989947	0.103559	0.105856	0.105728	0.102397	0.102348	0.0953259	0.0798903	0.0708924	0.0598015	0.0752063
a35	0.129856	0.134663	0.14004	0.139411	0.131602	0.125429	0.0822208	0.0379428	0.0334796	0.0198283	0.0255271
a33	0.103461	0.109239	0.112105	0.111952	0.108155	0.107973	0.0985556	0.0714283	0.0600097	0.0517252	0.065397
a8	0.0916103	0.0958617	0.0972588	0.0972009	0.0957081	0.0957893	0.0927975	0.0878011	0.0843209	0.0751338	0.0865177
a24	0.091847	0.0947815	0.0962561	0.0961788	0.0942084	0.0943106	0.0907932	0.0890226	0.0876651	0.0751073	0.0898294
a27	0.102526	0.104931	0.109161	0.108933	0.102261	0.102313	0.0908817	0.0776152	0.0695901	0.0528985	0.0788902
a31	0.0981078	0.100841	0.104589	0.104354	0.0982517	0.0983988	0.0886015	0.0834224	0.0793082	0.0578485	0.0862768
a10	0.118049	0.121661	0.12641	0.126194	0.120075	0.118632	0.0967395	0.0495756	0.0418289	0.0341375	0.0466977
a11	0.106635	0.11093	0.115873	0.115633	0.108583	0.108477	0.0944994	0.0678605	0.0573599	0.0459143	0.0682345
a24	0.100139	0.104654	0.108962	0.108743	0.102655	0.102794	0.0920529	0.0776367	0.0693871	0.0539291	0.0790473
a28	0.106882	0.110826	0.11629	0.116004	0.107863	0.10783	0.0930938	0.0695579	0.0591616	0.0446051	0.0678852
a31	0.102087	0.106926	0.112422	0.112151	0.104389	0.104548	0.0913376	0.0743375	0.0655003	0.0492431	0.0770578
a46	0.116573	0.123769	0.130124	0.129924	0.123436	0.121364	0.094234	0.0454538	0.0396282	0.0318824	0.0436116
a31	0.0821974	0.100314	0.104079	0.103973	0.101586	0.101805	0.0966932	0.0845265	0.0790051	0.0622454	0.0835751
a26	0.109767	0.126839	0.136727	0.136663	0.130782	0.126279	0.0875606	0.0410785	0.037799	0.0297824	0.0367218
a31	0.0992373	0.122197	0.12811	0.127819	0.122931	0.121788	0.101771	0.0517541	0.0440888	0.0336078	0.0466963
a46	0.0901658	0.124318	0.144555	0.14515	0.136891	0.13203	0.085151	0.0408936	0.0387767	0.0268124	0.0352563
a20	0.0574003	0.108842	0.122199	0.122015	0.119127	0.120029	0.110494	0.0718243	0.0649742	0.0381313	0.0649653
a35	0.0706483	0.10607	0.119606	0.1192	0.114633	0.117054	0.106789	0.0694963	0.0602644	0.0479484	0.0682908
</S>	0.0540068	0.0953799	0.113613	0.11299	0.105886	0.109802	0.100131	0.0873795	0.0865379	0.0476192	0.0866542
