 	avete	fatto	già	le	verdure	</S>
a6	0.308625	0.180538	0.108766	0.12019	0.135769	0.146111
a46	0.263568	0.178509	0.337321	0.145882	0.0597764	0.0149437
a21	0.238868	0.116719	0.254627	0.210161	0.139646	0.0399795
a20	0.235603	0.104294	0.248492	0.217576	0.150411	0.0436236
a24	0.248124	0.0997218	0.222261	0.235538	0.151928	0.0424264
a31	0.290596	0.0795514	0.128451	0.235405	0.1922	0.0737966
a14	0.460211	0.0914469	0.0677042	0.1507	0.143131	0.0868069
a41	0.267369	0.102864	0.13525	0.232749	0.183083	0.0786856
a37	0.189481	0.0759342	0.108591	0.23239	0.242938	0.150666
a31	0.196589	0.0786923	0.10995	0.230183	0.23823	0.146356
a6	0.405304	0.0873428	0.0602602	0.148542	0.172548	0.126004
a46	0.162004	0.0612444	0.154742	0.18433	0.241889	0.195791
a31	0.157007	0.0711178	0.155915	0.187226	0.221605	0.207129
a17	0.538055	0.142311	0.0477728	0.0821851	0.0928227	0.0968534
a20	0.170577	0.0628634	0.151947	0.191603	0.235939	0.187071
a31	0.177319	0.0820951	0.153003	0.194607	0.214376	0.1786
a17	0.531249	0.127858	0.0465576	0.0826696	0.100464	0.111202
a20	0.173588	0.0608247	0.150554	0.181625	0.244447	0.188961
a31	0.174879	0.0699244	0.15223	0.187744	0.225577	0.189645
a20	0.606546	0.127146	0.0358746	0.055858	0.0749862	0.0995898
a17	0.230485	0.0781644	0.155607	0.176183	0.213049	0.146512
a31	0.13343	0.0417869	0.132178	0.166881	0.282646	0.243078
a23	0.750296	0.12251	0.0175779	0.0206365	0.0327691	0.0562107
a31	0.146163	0.0764067	0.132376	0.141845	0.279524	0.223686
a8	0.890346	0.0670035	0.00502838	0.00590493	0.0130487	0.0186681
a31	0.194885	0.119265	0.142259	0.142721	0.226827	0.174044
a28	0.921403	0.0389995	0.00364167	0.00484965	0.0146093	0.0164968
a21	0.376223	0.189744	0.103189	0.0868413	0.127091	0.116912
a31	0.172445	0.0990034	0.140174	0.142464	0.236648	0.209265
</S>	0.894155	0.0328767	0.00507855	0.00697953	0.0295297	0.0313808
