 	possono	essere	ancora	svegli	</S>
a31	0.0940118	0.246011	0.204143	0.277814	0.178019
a20	0.0304223	0.65899	0.232825	0.047784	0.0299791
a23	0.0381156	0.39155	0.29993	0.201583	0.0688218
a31	0.0650888	0.271541	0.246663	0.248961	0.167746
a20	0.0233957	0.392488	0.240205	0.247018	0.0968931
a11	0.030593	0.402757	0.284525	0.206045	0.0760791
a20	0.0310067	0.33415	0.265251	0.257525	0.112067
a31	0.0362506	0.312846	0.260096	0.261441	0.129366
a37	0.0147442	0.324588	0.206135	0.30613	0.148402
a31	0.0195865	0.340651	0.212273	0.277246	0.150244
a11	0.00955551	0.241407	0.119605	0.370107	0.259325
a46	0.00709539	0.269207	0.0933372	0.34148	0.28888
a31	0.00448	0.193554	0.096747	0.331444	0.373775
a46	0.00643283	0.205716	0.0766377	0.299885	0.411328
a31	0.00673395	0.212657	0.0863098	0.286464	0.407835
a20	0.0093601	0.213289	0.0729355	0.24713	0.457285
a28	0.0130096	0.284844	0.0901141	0.23042	0.381612
</S>	0.0142935	0.282704	0.0919709	0.218083	0.392948
