 	allora	io	ora	sto	studiando	di	maestra	ma	ho	una	sorella	mia	sorella	studia	quest	anno	che	viene	per	medico	</S>
a31	0.0312192	0.0254432	0.038971	0.0343897	0.0468111	0.0499832	0.0285838	0.054948	0.0550546	0.0553786	0.0556002	0.05556	0.055618	0.0556035	0.0552972	0.05527	0.0542838	0.053064	0.0502005	0.0466141	0.0421061
a17	0.00982899	0.0124769	0.010488	0.0108944	0.00951488	0.0259115	0.0169799	0.0745465	0.0459415	0.0816138	0.123853	0.112312	0.126362	0.124671	0.0738055	0.054475	0.0316159	0.0283666	0.0173218	0.00649283	0.0025281
a31	0.0471049	0.0405099	0.0380707	0.0295279	0.0473246	0.0552719	0.0331881	0.0604326	0.0597364	0.0602545	0.0608238	0.0605814	0.0607968	0.0604863	0.0529815	0.0496084	0.0422802	0.0482862	0.0395573	0.0312803	0.0218963
a17	0.0460984	0.0447533	0.0408853	0.0375714	0.0429228	0.0656245	0.0448558	0.0693409	0.0680056	0.0691385	0.0700696	0.0696609	0.0700307	0.0696057	0.0572619	0.0484643	0.0247195	0.0232911	0.0165168	0.0134352	0.00774769
a31	0.0473983	0.0375218	0.0353563	0.025583	0.0480914	0.0565016	0.0289527	0.0635453	0.0626224	0.0632739	0.0640615	0.0637138	0.0640196	0.0635638	0.0531559	0.0487967	0.0394513	0.0467033	0.0372237	0.0294067	0.021057
a34	0.0518134	0.0453577	0.0433017	0.0381406	0.049358	0.0650596	0.0433407	0.0680579	0.0670498	0.0678011	0.0685659	0.0681802	0.0685164	0.0680763	0.055545	0.0468208	0.023597	0.0223818	0.0162496	0.0139819	0.00880467
a1	0.0515936	0.0403101	0.0410834	0.0335307	0.0520971	0.0624689	0.0363521	0.0665922	0.0657493	0.0663377	0.0670735	0.0667264	0.0670305	0.0665962	0.0555714	0.0492438	0.0312429	0.0309489	0.0203904	0.0170685	0.0119924
a35	0.0438862	0.0395775	0.0381551	0.0282843	0.0474118	0.0522841	0.0305911	0.0592415	0.0587852	0.0592574	0.0596322	0.0594805	0.0596172	0.0594373	0.0547467	0.0525326	0.0467606	0.050131	0.0412498	0.0333585	0.0255792
a31	0.0456622	0.0416686	0.0411618	0.033695	0.04785	0.0510265	0.0355022	0.0548	0.0545252	0.0547875	0.0550209	0.0549255	0.0550112	0.0548946	0.0518147	0.0503278	0.0467328	0.0499516	0.045907	0.0406223	0.0341126
a20	0.0544332	0.0438153	0.0449358	0.0386788	0.0545599	0.0622017	0.0410865	0.064732	0.064105	0.0645201	0.0650743	0.0647864	0.0650344	0.0646778	0.0548661	0.0483681	0.0291484	0.0272583	0.0185198	0.0164113	0.012787
a17	0.0472498	0.0414196	0.0412287	0.0326945	0.0497552	0.0563973	0.0350357	0.0615183	0.0610202	0.0614736	0.0618924	0.0617157	0.0618744	0.0616634	0.0560293	0.0528744	0.0431017	0.0435395	0.0294779	0.0229035	0.017135
a20	0.0447278	0.0375229	0.0370746	0.0278621	0.0475126	0.0522059	0.029955	0.0580192	0.0575256	0.0579498	0.0583822	0.0581989	0.0583619	0.0581292	0.0523538	0.0497954	0.0443885	0.0502485	0.0461337	0.0403993	0.0332532
a8	0.0476608	0.0413272	0.0422315	0.0361376	0.0492521	0.0536462	0.0376934	0.0563842	0.0560532	0.0563206	0.0566184	0.0564938	0.0566056	0.056449	0.0523757	0.0503031	0.0450293	0.0484072	0.0408567	0.0336661	0.0264883
a31	0.039821	0.0331521	0.0315919	0.0213566	0.0438717	0.0490431	0.0234994	0.0585878	0.0579211	0.0585622	0.0591302	0.0588939	0.0591044	0.0588101	0.0517256	0.0489402	0.0439896	0.0518202	0.0524654	0.0508425	0.0468709
a24	0.05261	0.0447079	0.0468792	0.0418049	0.0541531	0.0589456	0.0429913	0.0608798	0.0605246	0.0607908	0.0611259	0.06096	0.0611049	0.0609014	0.0550397	0.0509241	0.0366769	0.0338569	0.0216856	0.0182757	0.0151614
a31	0.0474679	0.0389391	0.0387233	0.0303787	0.0487732	0.0590938	0.0332929	0.0646412	0.0638415	0.064475	0.0651474	0.0648584	0.0651165	0.0647617	0.0559009	0.0513538	0.0391859	0.0406356	0.026738	0.0211128	0.0155625
