 	non	ho	dove	d	andare	</S>
a20	0.218314	0.157181	0.0938926	0.143193	0.169058	0.218361
a31	0.232843	0.256772	0.235511	0.16645	0.0797016	0.028723
a37	0.209456	0.0951963	0.261319	0.270382	0.128984	0.034662
a31	0.10562	0.058017	0.173331	0.269425	0.263641	0.129965
a29	0.169444	0.0632816	0.212052	0.285224	0.20686	0.0631391
a41	0.103042	0.0470538	0.150374	0.263528	0.289248	0.146754
a31	0.0866997	0.0464128	0.131356	0.244387	0.287533	0.203611
a18	0.114288	0.0269117	0.0945656	0.21717	0.352519	0.194545
a31	0.108884	0.0563899	0.148611	0.243413	0.269476	0.173225
a39	0.191124	0.0276223	0.0780567	0.151715	0.328671	0.222811
a31	0.253687	0.09714	0.134296	0.157996	0.21339	0.143491
a8	0.599377	0.0320038	0.0326512	0.0490127	0.132539	0.154416
a31	0.425902	0.0836321	0.0509847	0.123246	0.168634	0.147601
a8	0.664971	0.0235666	0.0125922	0.0661159	0.101179	0.131575
</S>	0.480809	0.0420098	0.0228135	0.124216	0.163613	0.16654
