 	avete	cucinato	le	verdure	</S>
a29	0.111981	0.141715	0.282234	0.254864	0.209205
a38	0.0565735	0.297445	0.30444	0.243871	0.09767
a31	0.0617127	0.211049	0.294175	0.2748	0.158262
a11	0.0310736	0.110177	0.353531	0.334913	0.170306
a37	0.0420651	0.149558	0.317584	0.304685	0.186109
a11	0.0340576	0.127872	0.296942	0.316355	0.224774
a31	0.0587278	0.172341	0.276266	0.278538	0.214127
a20	0.0206702	0.0600378	0.253089	0.330612	0.335591
a31	0.0653343	0.175685	0.305295	0.267635	0.186052
a39	0.0156639	0.0325703	0.142392	0.269995	0.53938
a13	0.0527469	0.134993	0.257987	0.273864	0.280409
a18	0.0437564	0.109141	0.208288	0.299263	0.339551
a39	0.0492969	0.107517	0.187917	0.311661	0.343608
a31	0.0496498	0.105587	0.166905	0.31375	0.364108
a46	0.0109644	0.0372069	0.0713989	0.218201	0.662229
</S>	0.0729788	0.106009	0.151133	0.32876	0.341119
