 	vado	trovando	un	forno	che	fa	pane	buon	e	non	so	dove	è	</S>
a31	0.0704852	0.072293	0.0721427	0.0724814	0.0725285	0.0725191	0.0725435	0.0724622	0.0722782	0.071717	0.0686184	0.069148	0.0709097	0.0698732
a15	0.132121	0.173053	0.136229	0.106561	0.0856484	0.0733605	0.0617066	0.0606879	0.0574838	0.0469079	0.0280931	0.0189575	0.0154737	0.00371662
a20	0.0833358	0.0839252	0.0834555	0.0835246	0.0831158	0.0813753	0.0801597	0.0790765	0.0555227	0.047867	0.0361505	0.0674579	0.0733701	0.0616634
a31	0.0840626	0.0847348	0.084239	0.0842322	0.0836948	0.0819862	0.0806008	0.0792206	0.0575313	0.0489382	0.0356546	0.0659724	0.0717252	0.0574076
a39	0.105589	0.107621	0.106074	0.104823	0.101255	0.0933707	0.0864423	0.0790755	0.0403257	0.0276083	0.0140994	0.0426702	0.0566177	0.0344277
a31	0.0840348	0.0846243	0.0841459	0.0840445	0.0835246	0.0818966	0.0805002	0.0789577	0.058376	0.0496545	0.0367184	0.0651756	0.0714134	0.0569334
a15	0.104863	0.106338	0.105148	0.102955	0.0991098	0.092552	0.0855545	0.0774844	0.045385	0.0304729	0.015744	0.0435423	0.056	0.0348508
a31	0.0821792	0.0827697	0.0822741	0.0822792	0.0819657	0.0804891	0.0794252	0.0783705	0.0570584	0.0494385	0.0369307	0.0670525	0.0739105	0.0658569
a18	0.104105	0.105343	0.104292	0.10153	0.0974436	0.0914669	0.0843522	0.0758848	0.0493485	0.0332967	0.0181695	0.0440449	0.0554068	0.0353159
a8	0.0892607	0.0901157	0.0894937	0.0890374	0.0878961	0.0852923	0.082664	0.0794117	0.0555591	0.0439351	0.0295594	0.058571	0.0680723	0.0511315
a31	0.077812	0.078224	0.0778692	0.0778938	0.077828	0.0771013	0.0766471	0.0762301	0.0620796	0.0566061	0.0455868	0.069764	0.074475	0.0718829
a3	0.100747	0.101864	0.101001	0.0985489	0.0949728	0.0898572	0.0835082	0.0756873	0.0523413	0.0362881	0.0214152	0.0463857	0.0577211	0.039663
a31	0.0894331	0.0906348	0.0899669	0.0896914	0.0885162	0.085565	0.0828394	0.0796213	0.0527082	0.0414313	0.0274283	0.058493	0.0691153	0.0545558
a39	0.102625	0.10408	0.103114	0.100449	0.0964843	0.0907309	0.0838078	0.0754569	0.0499296	0.0339522	0.0192314	0.044688	0.0566458	0.0388049
a31	0.081393	0.0819238	0.0814681	0.0812081	0.0808006	0.0797184	0.0785524	0.0769436	0.0635531	0.0552861	0.0428452	0.0641813	0.0710925	0.0610336
a17	0.10153	0.102806	0.101893	0.0991515	0.0952535	0.0898651	0.0831072	0.0748331	0.0520626	0.0358506	0.0213417	0.0454049	0.0569298	0.039971
a13	0.0839987	0.084802	0.0841844	0.0839887	0.0834627	0.0818059	0.0802802	0.0783687	0.0582391	0.0488741	0.0352407	0.0628367	0.0718322	0.0620861
a20	0.0786092	0.0791432	0.0788325	0.0789048	0.0786696	0.0777901	0.077099	0.0763197	0.0625318	0.0561551	0.0448629	0.0686045	0.0734416	0.0690359
a31	0.080471	0.0814486	0.0810671	0.0812356	0.0808987	0.0796159	0.0786645	0.0776612	0.0591813	0.0516968	0.039018	0.067529	0.0736959	0.0678163
a13	0.0982142	0.099901	0.0990774	0.0973024	0.0942801	0.0894779	0.0838431	0.0768409	0.051311	0.0360252	0.0213505	0.0478551	0.060406	0.044115
