 	ho	cosa	a	fare	</S>
a23	0.113126	0.186991	0.239522	0.232629	0.227733
a17	0.0792936	0.163466	0.347668	0.254462	0.155111
a31	0.0390108	0.128128	0.416713	0.277971	0.138177
a8	0.0277067	0.0775118	0.333209	0.303187	0.258385
a31	0.028582	0.108096	0.333697	0.282776	0.24685
a13	0.0250488	0.0591572	0.204133	0.255399	0.456262
a24	0.044642	0.134104	0.292057	0.272177	0.257019
a31	0.0439099	0.134636	0.300183	0.257648	0.263623
a13	0.0159223	0.0490134	0.180266	0.214752	0.540046
a31	0.0578559	0.198114	0.293642	0.228948	0.22144
a18	0.00814713	0.0282085	0.100659	0.132527	0.730458
a0	0.0222127	0.138247	0.283921	0.220409	0.33521
a39	0.0244015	0.119604	0.27097	0.242902	0.342123
</S>	0.0227566	0.113365	0.251283	0.254539	0.358056
