 	il	morto	si	piange	</S>
a20	0.14722	0.186999	0.204415	0.266203	0.195163
a31	0.263271	0.188448	0.175288	0.209849	0.163144
a18	0.135572	0.22038	0.241598	0.276729	0.12572
a15	0.140526	0.239425	0.253925	0.237499	0.128624
a31	0.143711	0.214786	0.23752	0.2239	0.180082
a15	0.0645702	0.202638	0.282802	0.300378	0.149612
a31	0.14938	0.213237	0.238599	0.230496	0.168289
a29	0.0637087	0.18811	0.266246	0.309951	0.171984
a31	0.110905	0.23454	0.263672	0.257697	0.133186
a0	0.0579252	0.189957	0.271137	0.309289	0.171692
a31	0.161991	0.217121	0.238747	0.242858	0.139282
a13	0.0556294	0.139388	0.214177	0.342911	0.247894
a18	0.150179	0.201263	0.231569	0.264995	0.151994
a41	0.149895	0.18888	0.232882	0.265932	0.162411
a31	0.135268	0.185347	0.235044	0.258174	0.186166
a18	0.0451462	0.123942	0.195152	0.356662	0.279098
a31	0.124272	0.153545	0.235	0.303046	0.184137
a46	0.0154755	0.0410327	0.0920551	0.422738	0.428698
a31	0.078447	0.0822331	0.163888	0.406665	0.268767
a0	0.0037858	0.0093208	0.0280057	0.42846	0.530428
a31	0.049773	0.0559678	0.1059	0.46865	0.31971
</S>	0.00202503	0.00485926	0.0182401	0.385093	0.589783
