 	la	macchina	si	è	rotta	e	vuole	riparate	dal	meccanico	</S>
a31	0.088386	0.0985261	0.101788	0.101422	0.0984398	0.0963266	0.0936869	0.0562337	0.0820801	0.0924973	0.0906133
a23	0.0196794	0.0191069	0.0418263	0.1631	0.209345	0.250403	0.243782	0.0399465	0.00829346	0.00280987	0.00170747
a31	0.0479375	0.05871	0.118551	0.108099	0.125017	0.12189	0.113632	0.0772166	0.107378	0.0808996	0.0406702
a37	0.0212725	0.024712	0.121861	0.155247	0.18604	0.185143	0.169628	0.0576555	0.0528218	0.017968	0.00765097
a39	0.0843804	0.0912762	0.123123	0.0881651	0.123631	0.11659	0.0986849	0.0434204	0.117445	0.079095	0.0341892
a17	0.0885095	0.0920729	0.106082	0.0798919	0.104669	0.099453	0.0872022	0.0502954	0.112458	0.104966	0.0744005
a11	0.0954649	0.0954655	0.100755	0.0724194	0.0983841	0.0926369	0.0797805	0.0459692	0.112463	0.112071	0.0945904
a31	0.091814	0.0928551	0.101106	0.0716103	0.0994285	0.0935916	0.080085	0.0467913	0.117116	0.113201	0.0924017
a20	0.111581	0.106592	0.11227	0.0724081	0.109826	0.100801	0.0803366	0.0217283	0.128715	0.102007	0.0537345
a31	0.0819484	0.0884363	0.112001	0.0838921	0.110798	0.104695	0.0909789	0.0474889	0.11215	0.101541	0.0660702
a24	0.116747	0.111855	0.118066	0.0764586	0.115366	0.105957	0.0840469	0.0186875	0.116647	0.0902123	0.0459563
a31	0.0758499	0.0870222	0.130052	0.107196	0.130374	0.124528	0.111239	0.0466591	0.0870077	0.0663812	0.0336906
a8	0.120438	0.118266	0.122079	0.0849726	0.119252	0.1116	0.0920552	0.0198902	0.0913022	0.0754206	0.0447242
a31	0.105666	0.112071	0.124247	0.110142	0.103314	0.0918185	0.081999	0.0292389	0.0629196	0.0922924	0.086292
a24	0.117612	0.120833	0.12868	0.109307	0.124776	0.120089	0.107007	0.0190648	0.0607709	0.0553237	0.0365365
a6	0.1026	0.111573	0.135031	0.10874	0.128313	0.119845	0.104597	0.0254741	0.0682462	0.0608587	0.0347219
a31	0.105638	0.1145	0.129336	0.111741	0.100244	0.0858559	0.0744878	0.0234184	0.057367	0.0958904	0.101522
a20	0.115222	0.120065	0.128914	0.109419	0.123893	0.118448	0.10531	0.0185928	0.0619821	0.0585963	0.0395579
a31	0.110206	0.118945	0.129757	0.108339	0.11488	0.103918	0.0907199	0.0199904	0.0658599	0.0794473	0.0579389
a23	0.117506	0.126019	0.135438	0.110511	0.126858	0.118503	0.101599	0.0112344	0.0562257	0.0577862	0.0383204
a28	0.103571	0.120351	0.14737	0.13041	0.0994751	0.0805186	0.0682039	0.0180078	0.0469401	0.0885038	0.0966491
a31	0.098446	0.108437	0.115551	0.100681	0.105268	0.0965879	0.0868924	0.0278536	0.077317	0.0955098	0.0874558
a0	0.113622	0.130131	0.141083	0.104818	0.126074	0.111844	0.0899065	0.00683659	0.0590477	0.0690671	0.0475707
a28	0.101572	0.122745	0.14593	0.121306	0.105329	0.0850099	0.0699529	0.013071	0.0506321	0.0919151	0.092537
a35	0.0943903	0.115661	0.128544	0.108214	0.10836	0.0932972	0.0795388	0.0149708	0.0661388	0.0971679	0.0937167
a8	0.0941523	0.116993	0.133824	0.10751	0.103647	0.0847974	0.0695288	0.0133043	0.059441	0.103283	0.11352
a20	0.0990903	0.115471	0.133072	0.112596	0.0997937	0.082443	0.0695537	0.0177228	0.0555426	0.09971	0.115005
a31	0.0943252	0.109779	0.11871	0.102234	0.103138	0.0912914	0.0801159	0.0213975	0.0714606	0.101579	0.10597
a37	0.0933412	0.121789	0.132901	0.100879	0.116051	0.100558	0.0808769	0.00804086	0.0707231	0.0947166	0.0801237
a31	0.0968417	0.121678	0.141396	0.113146	0.10749	0.0873365	0.0707593	0.0104313	0.055754	0.097428	0.0977396
a37	0.0883587	0.142698	0.174412	0.139059	0.129262	0.101268	0.0751961	0.00188668	0.0330648	0.0625777	0.0522175
a19	0.0867523	0.133422	0.19565	0.16238	0.100493	0.0699251	0.0528274	0.00563824	0.0333522	0.0747565	0.0848041
a35	0.076087	0.134874	0.203685	0.144764	0.100704	0.064203	0.043892	0.00321757	0.0340124	0.0867943	0.107766
a20	0.0704905	0.12253	0.22366	0.179641	0.0828605	0.0534189	0.0389872	0.00686682	0.0331445	0.076055	0.112347
a31	0.0706587	0.127882	0.198138	0.167581	0.0950648	0.0623424	0.0462562	0.00524333	0.0310691	0.0808681	0.114897
a39	0.0534325	0.146223	0.247557	0.18862	0.114639	0.0709112	0.0447422	0.00061409	0.0162912	0.0549972	0.0619722
a31	0.0520456	0.101268	0.26207	0.255933	0.0670624	0.0438159	0.034172	0.00914177	0.0285942	0.0568836	0.089013
a28	0.0417862	0.137027	0.313372	0.250251	0.0956143	0.0544537	0.0321895	0.000339102	0.00731178	0.0300892	0.0375669
a20	0.0513565	0.111332	0.295679	0.25167	0.0717115	0.0435262	0.0309983	0.00351616	0.0225817	0.0493109	0.0683169
a8	0.0461141	0.107815	0.293796	0.255813	0.0688896	0.0410397	0.0294351	0.00351832	0.0216729	0.0512298	0.0806766
a13	0.0448296	0.088957	0.279184	0.268629	0.0610131	0.0400645	0.0304986	0.00963181	0.0316696	0.0567341	0.088789
a44	0.0465155	0.114017	0.264199	0.232793	0.0750801	0.0435295	0.0316336	0.00425901	0.0210499	0.0591305	0.107792
</S>	0.0509403	0.0879262	0.255064	0.26404	0.0634366	0.045484	0.0361901	0.0124815	0.0376353	0.0606785	0.0861239
