 	se	avessi	visto	le	nuvole	avrei	capito	che	pioverà	</S>
a23	0.0979236	0.0985572	0.103113	0.103116	0.104547	0.100069	0.10165	0.100321	0.099858	0.0908456
a31	0.0635618	0.0993146	0.120835	0.126378	0.13442	0.133453	0.118983	0.0962419	0.0862269	0.020586
a13	0.0986513	0.124452	0.164982	0.165018	0.161593	0.126385	0.0764598	0.0429335	0.0304703	0.00905463
a37	0.0957374	0.0998121	0.123849	0.120467	0.120874	0.108016	0.110912	0.0893798	0.0917942	0.0391597
a31	0.0968825	0.100745	0.124074	0.120946	0.121302	0.108372	0.109307	0.0870307	0.0907332	0.0406076
a39	0.103422	0.103111	0.158603	0.150243	0.148103	0.109536	0.0936715	0.0549972	0.05845	0.0198637
a20	0.10133	0.102644	0.115031	0.113113	0.114358	0.107643	0.107015	0.093243	0.0948539	0.0507685
a31	0.0983735	0.100384	0.11242	0.110759	0.111277	0.104869	0.105983	0.0945922	0.0973942	0.0639484
a0	0.110822	0.109008	0.153725	0.147213	0.144536	0.110297	0.0885188	0.0547897	0.0586853	0.0224049
a31	0.100108	0.100451	0.113538	0.111232	0.113036	0.106006	0.106337	0.0937014	0.0962094	0.0593817
a20	0.12918	0.119616	0.158233	0.152716	0.146465	0.105003	0.0720259	0.0480342	0.0486549	0.0200725
a24	0.109903	0.109271	0.123234	0.120913	0.122131	0.112092	0.102218	0.0793906	0.0831213	0.0377267
a31	0.104896	0.106711	0.12623	0.123254	0.12381	0.111334	0.1032	0.0779845	0.0834763	0.0391033
a10	0.119534	0.114502	0.152967	0.147124	0.143628	0.108333	0.0805146	0.0524855	0.0559646	0.0249476
a27	0.108678	0.108603	0.12889	0.125507	0.126561	0.1122	0.100386	0.0737218	0.0790247	0.0364287
a37	0.0956851	0.0941614	0.107389	0.104253	0.108393	0.10238	0.105808	0.0996067	0.100406	0.0819183
a31	0.0960315	0.0977661	0.111076	0.108803	0.110295	0.103636	0.105633	0.0951759	0.0985559	0.073028
a18	0.113583	0.111756	0.146241	0.140679	0.139566	0.110676	0.0873726	0.0577516	0.0628531	0.0295229
a11	0.104059	0.0991973	0.113647	0.109514	0.116064	0.108496	0.10618	0.0924381	0.0936984	0.0567065
a31	0.0972592	0.095033	0.10835	0.104828	0.110149	0.104191	0.106176	0.0986288	0.0992189	0.0761661
a28	0.124238	0.114063	0.156396	0.148852	0.148112	0.102784	0.0742576	0.0514092	0.0531767	0.0267121
a31	0.111768	0.0993385	0.121156	0.113393	0.127614	0.11422	0.104772	0.0833244	0.0834287	0.0409854
a20	0.134977	0.100229	0.189378	0.169773	0.169437	0.0718223	0.0565375	0.0450555	0.0412475	0.0215431
a3	0.119702	0.0895699	0.126344	0.10991	0.146635	0.118127	0.10515	0.0804882	0.0734496	0.0306248
a28	0.107372	0.0873883	0.119025	0.106531	0.134401	0.112781	0.110975	0.0932836	0.0866299	0.0416145
a20	0.0997204	0.0840547	0.113988	0.10209	0.12944	0.112779	0.114353	0.101036	0.0930468	0.0494919
a31	0.0923155	0.078688	0.109948	0.0970718	0.127286	0.11222	0.117563	0.108645	0.0976854	0.0585774
a46	0.0905098	0.0744925	0.182402	0.158895	0.203207	0.0855226	0.0749013	0.0556259	0.0491133	0.0253309
a23	0.101334	0.0690953	0.106978	0.0869412	0.154425	0.107993	0.125008	0.118467	0.0865554	0.0432033
</S>	0.0992205	0.0647941	0.105944	0.0854882	0.149319	0.101432	0.123785	0.126354	0.0910963	0.0525663
