 	la	macchina	vuole	riparata	dal	meccanico	</S>
a31	0.117094	0.150633	0.0403385	0.109913	0.160795	0.211331	0.209897
a33	0.404897	0.172326	0.0928532	0.128766	0.106624	0.0663963	0.0281368
a31	0.105238	0.0758146	0.157864	0.215193	0.199055	0.159909	0.0869268
a41	0.178647	0.0772573	0.1162	0.244249	0.204211	0.128169	0.0512669
a18	0.0964202	0.0470052	0.103183	0.249634	0.236254	0.178564	0.0889398
a11	0.0861297	0.0485383	0.111322	0.229545	0.224809	0.188042	0.111615
a17	0.0779251	0.0500837	0.112686	0.21387	0.215038	0.193351	0.137045
a11	0.0705854	0.0535956	0.115947	0.204317	0.205285	0.191202	0.159068
a31	0.0724093	0.0562346	0.116477	0.199231	0.203182	0.191479	0.160987
a21	0.094088	0.0372804	0.0528216	0.219132	0.25209	0.216375	0.128212
a31	0.078397	0.0704677	0.111134	0.192119	0.197967	0.189225	0.160691
a15	0.120888	0.0441723	0.0430631	0.193787	0.238924	0.217459	0.141706
a31	0.0686869	0.071894	0.068497	0.185586	0.213718	0.210939	0.180679
a11	0.20049	0.0577412	0.0175606	0.129084	0.197961	0.223076	0.174087
a31	0.0883316	0.0921264	0.0382602	0.177264	0.234548	0.220396	0.149073
a11	0.231564	0.0444001	0.0030897	0.0497712	0.138045	0.276364	0.256765
a46	0.0907209	0.0907619	0.0123632	0.114692	0.238031	0.2649	0.188531
a31	0.0543493	0.0647524	0.0164517	0.086585	0.223879	0.315033	0.23895
</S>	0.119321	0.0179229	0.00053624	0.010614	0.0638326	0.368753	0.41902
