 	sicuramente	stanno	ancora	svegli	</S>
a17	0.242624	0.210812	0.175332	0.197387	0.173845
a24	0.335859	0.442749	0.188967	0.0222904	0.0101353
a28	0.376716	0.293197	0.214623	0.0799343	0.0355296
a37	0.346751	0.216793	0.233267	0.136714	0.0664751
a18	0.355635	0.193067	0.226648	0.148042	0.0766078
a39	0.307889	0.19046	0.232396	0.171982	0.0972728
a31	0.253934	0.19103	0.223305	0.194573	0.137158
a39	0.466232	0.169826	0.159499	0.130785	0.0736575
a31	0.264188	0.213235	0.229919	0.174885	0.117773
a46	0.508902	0.162546	0.122784	0.129314	0.0764538
a31	0.265645	0.20724	0.226906	0.173634	0.126575
a18	0.562288	0.140579	0.0836339	0.131418	0.0820812
a31	0.332677	0.23774	0.205202	0.131394	0.0929875
a39	0.585481	0.121606	0.0717302	0.13519	0.0859928
a31	0.325282	0.236838	0.197496	0.136724	0.10366
a41	0.650968	0.0821809	0.0446509	0.133653	0.0885479
a39	0.398755	0.229429	0.147178	0.12687	0.097768
a28	0.286238	0.221883	0.20553	0.162616	0.123733
a20	0.269824	0.212547	0.219821	0.171586	0.126222
a31	0.267794	0.187706	0.220911	0.186984	0.136605
a39	0.485152	0.151327	0.112088	0.143784	0.107649
a35	0.25782	0.193401	0.218947	0.180865	0.148966
a31	0.225904	0.178073	0.211235	0.204116	0.180673
a11	0.552174	0.103623	0.0605892	0.152919	0.130694
a18	0.298931	0.193328	0.202604	0.1605	0.144638
a24	0.24645	0.1676	0.211455	0.198701	0.175793
a31	0.290221	0.163802	0.21847	0.186352	0.141154
a18	0.518634	0.0817405	0.0575684	0.173603	0.168455
a31	0.295837	0.163294	0.174231	0.171732	0.194907
a18	0.562603	0.0246859	0.0216869	0.164669	0.226355
a15	0.365522	0.154347	0.101024	0.149791	0.229316
a8	0.281231	0.149845	0.127015	0.183831	0.258078
a39	0.234088	0.140863	0.133485	0.205627	0.285937
a31	0.261669	0.134	0.139777	0.209179	0.255375
</S>	0.442227	0.0312891	0.0282536	0.204803	0.293428
