 	può	che	sono	ancora	svegli	</S>
a31	0.0214627	0.18059	0.10437	0.203034	0.246798	0.243745
a7	0.240926	0.412815	0.241676	0.0880754	0.0117262	0.00478132
a31	0.0970429	0.114769	0.141332	0.325778	0.224805	0.0962732
a7	0.0706935	0.133726	0.11999	0.404927	0.209551	0.0611124
a31	0.0677053	0.0945249	0.089782	0.325439	0.292892	0.129656
a37	0.034317	0.0860597	0.0576419	0.338346	0.348071	0.135564
a31	0.0496385	0.0984701	0.0932833	0.324729	0.293438	0.140441
a39	0.0175967	0.0892012	0.0529337	0.336093	0.353438	0.150737
a31	0.0472734	0.1423	0.145938	0.300729	0.247549	0.116211
a20	0.0132286	0.169969	0.0664395	0.288275	0.320628	0.14146
a31	0.00905737	0.279286	0.0840694	0.23999	0.27812	0.109477
a46	0.011174	0.2981	0.0435148	0.168476	0.329362	0.149373
a8	0.00935899	0.501597	0.0568976	0.140073	0.191226	0.100848
a46	0.0129692	0.551749	0.0711617	0.122473	0.145393	0.0962538
a8	0.0113733	0.459606	0.0937421	0.135998	0.168848	0.130433
a31	0.0122627	0.354147	0.113336	0.165349	0.186829	0.168077
a20	0.0112051	0.422303	0.0321658	0.103567	0.26459	0.166169
</S>	0.00954408	0.380962	0.092911	0.177386	0.195446	0.143751
