 	quando	divento	vecchia	vendo	la	casa	in	in	Trieste	e	vengo	qui	da	vivere	al	mare	</S>
a31	0.0357023	0.0664935	0.0609029	0.0657048	0.0688297	0.0691117	0.070062	0.0710316	0.0710635	0.0694405	0.0664735	0.0616236	0.0596826	0.0407076	0.0398816	0.0401671	0.0431215
a8	0.0248862	0.0274226	0.0259087	0.0272249	0.0322862	0.0398061	0.0629133	0.0949306	0.179881	0.210496	0.136879	0.0635752	0.0426938	0.025818	0.00244101	0.0013039	0.00153448
a31	0.0477194	0.0605369	0.0485573	0.0564124	0.0682667	0.0723366	0.075308	0.0716899	0.0734814	0.0735451	0.0664785	0.0734821	0.0726618	0.0662198	0.0433087	0.0169395	0.0130558
a41	0.0333147	0.0513162	0.0428047	0.0531737	0.0741369	0.0867923	0.0958582	0.0898486	0.0931774	0.0979097	0.071003	0.0652165	0.0657442	0.0563692	0.0142348	0.00453517	0.0045644
a10	0.0558214	0.0729147	0.0669714	0.0722397	0.0782133	0.0793436	0.0758749	0.0607038	0.0626654	0.0675684	0.0512646	0.0632267	0.0680394	0.0646505	0.0371593	0.0136584	0.00968446
a20	0.0524597	0.0698304	0.0666955	0.071326	0.0764048	0.0776499	0.0739048	0.0586965	0.0606501	0.0661298	0.0504726	0.0624661	0.0679129	0.0690241	0.0464552	0.0176523	0.0122693
a31	0.0527748	0.0692126	0.0650857	0.0692463	0.0735122	0.0742466	0.0712494	0.0583934	0.0602139	0.0645216	0.0518954	0.0636469	0.0674317	0.0668945	0.0516891	0.0235169	0.0164691
a37	0.0580551	0.0789566	0.0790362	0.0824611	0.0853829	0.0856733	0.0792523	0.0597145	0.0612639	0.0683049	0.0437613	0.0514332	0.0581687	0.060136	0.0288354	0.0117743	0.00779037
a31	0.0556503	0.0718966	0.0658741	0.0706036	0.0757575	0.0766901	0.0745884	0.0631771	0.0648094	0.0683345	0.0544889	0.0631142	0.0660489	0.0617739	0.0392404	0.016186	0.0117659
a18	0.059342	0.0801243	0.0786806	0.0824396	0.0858604	0.0863122	0.0811691	0.0636125	0.064976	0.071215	0.0461405	0.0499881	0.054769	0.0519549	0.0246374	0.0111753	0.00760317
a31	0.0595641	0.0730756	0.0619997	0.067315	0.0735212	0.0741869	0.0736937	0.0660705	0.0674447	0.0684014	0.0572566	0.0646762	0.0652438	0.0560843	0.0383163	0.018751	0.0143991
a46	0.0596974	0.0798454	0.0766066	0.0808323	0.0849849	0.085729	0.0822612	0.067879	0.0690035	0.0739818	0.0497908	0.0495602	0.0525485	0.0457458	0.0224792	0.0111509	0.00790359
a20	0.0656052	0.0807217	0.0519351	0.0597794	0.0713034	0.0714918	0.0740468	0.0709182	0.0724261	0.0667767	0.0556406	0.0654495	0.0612054	0.0435674	0.0352198	0.0289549	0.0249581
a31	0.0572999	0.0667008	0.0613244	0.0643626	0.06745	0.0678235	0.067534	0.0633875	0.0642018	0.0649593	0.0590363	0.0633527	0.0636757	0.0592939	0.0511905	0.0320717	0.0263355
a20	0.0571282	0.0810349	0.0779107	0.081973	0.0853061	0.0854525	0.0810207	0.0651429	0.0665361	0.0717469	0.048367	0.0502912	0.0534077	0.0473516	0.0250193	0.0130635	0.00924788
a29	0.0579183	0.0736293	0.0624011	0.0678848	0.0739854	0.0746542	0.0747174	0.0689998	0.0701125	0.0703003	0.059604	0.0636721	0.0634212	0.0524814	0.034571	0.0176158	0.0140314
a8	0.0506147	0.0694884	0.0644047	0.0682214	0.0713312	0.0714182	0.0692565	0.0594553	0.0609692	0.0637837	0.0533555	0.062407	0.0642086	0.0610957	0.0528272	0.0321185	0.0250442
a20	0.0558131	0.0710092	0.0524559	0.0586719	0.0663357	0.0663071	0.0665556	0.0601221	0.0617206	0.060194	0.0510126	0.0628105	0.0609889	0.0512929	0.0481205	0.0550547	0.0515347
a31	0.0547128	0.0650556	0.0604116	0.0630426	0.0654173	0.0655635	0.0651555	0.061308	0.0620794	0.0627677	0.0576993	0.0622611	0.0623628	0.0596174	0.0551897	0.0417394	0.0356165
a10	0.050658	0.0744197	0.0730773	0.0761132	0.0779108	0.0777574	0.0739036	0.0605647	0.0621658	0.0666901	0.0507478	0.0576643	0.0604263	0.0600355	0.0414235	0.0207727	0.0156692
a31	0.0496795	0.0705978	0.0638035	0.0683066	0.0721011	0.0721408	0.0698815	0.0594146	0.0610891	0.06377	0.0527554	0.0630993	0.0644111	0.061445	0.051761	0.0312562	0.0244875
a20	0.0531765	0.078637	0.0747272	0.0787044	0.0815064	0.0814471	0.0783565	0.0661533	0.067496	0.0711756	0.0521916	0.0537493	0.0548554	0.0493723	0.0288208	0.0168111	0.0128195
a31	0.0580197	0.0746292	0.0570683	0.063533	0.0711312	0.0714148	0.0726045	0.06936	0.0704762	0.0680034	0.0592117	0.0654237	0.0628409	0.0514912	0.0386013	0.0250044	0.0211866
a24	0.0508403	0.0829144	0.0738765	0.080086	0.0850859	0.0852006	0.0832796	0.0727259	0.0737916	0.0758745	0.0534529	0.0491484	0.0484564	0.0371872	0.0217157	0.0148061	0.011558
