 	forse	stanno	ancora	svegli	</S>
a31	0.351842	0.127953	0.115218	0.197789	0.207198
a10	0.681728	0.208584	0.0639437	0.0239065	0.0218376
a20	0.138827	0.261914	0.382479	0.152171	0.0646099
a31	0.101544	0.184895	0.352487	0.256596	0.104479
a18	0.142364	0.162226	0.282064	0.289922	0.123424
a31	0.116041	0.175907	0.3224	0.272091	0.113561
a35	0.147968	0.116989	0.18598	0.380143	0.16892
a31	0.179811	0.175114	0.240471	0.263623	0.14098
a10	0.304573	0.0920655	0.08464	0.315536	0.203185
a20	0.566385	0.0646903	0.0588909	0.161487	0.148548
a29	0.385678	0.0962625	0.107065	0.201744	0.209251
a20	0.377186	0.0810703	0.0961899	0.199942	0.245612
a31	0.236916	0.107849	0.133537	0.222136	0.299562
a28	0.53077	0.0207607	0.0376865	0.16387	0.246913
a8	0.576566	0.101989	0.0740927	0.118341	0.129011
a21	0.374131	0.135974	0.11484	0.17129	0.203765
</S>	0.417971	0.0952396	0.0952269	0.169411	0.222151
