 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.105199	0.11876	0.122454	0.0881143	0.0691147	0.0629193	0.124412	0.0961542	0.100895	0.111978
a37	0.0462522	0.0761149	0.118036	0.154276	0.146438	0.159035	0.200119	0.0723476	0.0215973	0.00578421
a31	0.0532012	0.0462616	0.046332	0.098022	0.126863	0.163516	0.190606	0.13167	0.100374	0.0431545
a20	0.0574629	0.046268	0.0411851	0.096705	0.119897	0.173222	0.230097	0.128883	0.0758415	0.0304387
a31	0.0547346	0.0471589	0.0446017	0.0964471	0.125927	0.17284	0.215026	0.126928	0.0820458	0.0342909
a13	0.0562476	0.0450185	0.0375299	0.0838335	0.103293	0.166599	0.253731	0.128263	0.0847284	0.0407572
a31	0.0617548	0.0510483	0.0523457	0.10942	0.130233	0.158143	0.188496	0.127559	0.0817491	0.0392521
a20	0.0733693	0.056071	0.0489663	0.10205	0.102142	0.145345	0.245302	0.11521	0.071366	0.0401779
a17	0.0780801	0.0646401	0.0682209	0.117439	0.123527	0.141464	0.199146	0.111459	0.0634453	0.0325782
a20	0.0629364	0.0582546	0.0709204	0.0895758	0.113155	0.1237	0.158517	0.132158	0.111461	0.0793208
a31	0.0850183	0.0815095	0.0934406	0.0961898	0.108541	0.115207	0.141157	0.120727	0.0949458	0.0632645
a20	0.133877	0.106093	0.0917405	0.0981358	0.059114	0.0720918	0.261159	0.0752463	0.0560544	0.0464883
a31	0.0737469	0.0825958	0.100941	0.0750495	0.100703	0.118983	0.190943	0.129415	0.0774529	0.0501695
a3	0.2025	0.179744	0.12401	0.0590914	0.0243056	0.0305591	0.260002	0.0382354	0.0372805	0.0442722
a8	0.0821588	0.0999228	0.117825	0.065469	0.0726378	0.0899537	0.248228	0.114049	0.0607216	0.0490347
</S>	0.0608949	0.0731025	0.0887682	0.0559128	0.0632906	0.0826542	0.24533	0.141873	0.100071	0.0881029
