 	se	la	pasta	voleva	sale	lo	avevo	messo	</S>
a8	0.101892	0.112552	0.11896	0.120967	0.119336	0.115962	0.113852	0.106048	0.0904303
a20	0.0395824	0.0808497	0.151583	0.188231	0.195807	0.169841	0.0959168	0.0550148	0.0231752
a31	0.0778777	0.117006	0.143662	0.151593	0.142588	0.139828	0.113345	0.0773632	0.0367378
a8	0.133567	0.172934	0.190123	0.19036	0.118653	0.0782616	0.0593184	0.03946	0.0173229
a20	0.12526	0.129429	0.128944	0.128909	0.104387	0.11258	0.112897	0.0931688	0.0644249
a31	0.126927	0.133873	0.134944	0.135229	0.112686	0.115452	0.106657	0.0812302	0.0530005
a24	0.170555	0.181587	0.177784	0.17473	0.0899053	0.0680135	0.0609711	0.0465757	0.0298794
a46	0.144065	0.162514	0.167969	0.167512	0.120644	0.0942069	0.0646804	0.0481374	0.0302716
a10	0.121016	0.125811	0.126358	0.126348	0.10473	0.112326	0.113314	0.0970792	0.0730187
a8	0.129786	0.134464	0.133588	0.133626	0.104468	0.111514	0.108208	0.0848539	0.0594924
a31	0.116865	0.121987	0.121214	0.121223	0.0921325	0.105555	0.117114	0.109313	0.0945969
a46	0.154693	0.160554	0.16044	0.159167	0.116282	0.092418	0.0660882	0.0506249	0.0397329
a3	0.116592	0.122485	0.124083	0.124149	0.104899	0.112614	0.114228	0.101169	0.0797807
a18	0.124527	0.128167	0.127789	0.127875	0.105803	0.112779	0.111205	0.092847	0.0690072
a31	0.126277	0.131701	0.130271	0.130349	0.0958481	0.107928	0.11363	0.094513	0.069483
a10	0.154089	0.160704	0.159767	0.158771	0.109831	0.09346	0.0692823	0.0524271	0.0416694
a20	0.1348	0.141254	0.140964	0.141008	0.106369	0.111403	0.0993203	0.073042	0.0518398
a35	0.127503	0.134156	0.134726	0.134942	0.10541	0.112687	0.107473	0.0838264	0.0592776
a8	0.117417	0.123545	0.124573	0.124811	0.101113	0.110868	0.114903	0.101906	0.0808648
a31	0.107742	0.115018	0.118028	0.118288	0.102127	0.110094	0.115347	0.111326	0.102031
a24	0.138068	0.148704	0.152523	0.153198	0.120791	0.1045	0.0785158	0.0580968	0.0456027
a8	0.135343	0.144939	0.146084	0.146297	0.108039	0.111499	0.093415	0.0669568	0.0474266
a0	0.100907	0.114463	0.122033	0.122522	0.102338	0.111418	0.117125	0.111349	0.097845
a31	0.1091	0.115908	0.119387	0.119992	0.109804	0.113667	0.113911	0.106541	0.09169
a18	0.134404	0.15165	0.1591	0.160711	0.118437	0.0991809	0.0742479	0.0564128	0.0458558
a31	0.112423	0.12587	0.13344	0.134416	0.116077	0.118643	0.108621	0.0871231	0.0633872
a17	0.135742	0.163451	0.179218	0.180364	0.120068	0.0710665	0.0558543	0.0496903	0.0445448
a8	0.0867747	0.113966	0.138225	0.139991	0.125121	0.124127	0.111602	0.0923212	0.0678726
a31	0.0719659	0.0983914	0.124296	0.126587	0.118113	0.118602	0.118265	0.117637	0.106143
</S>	0.103326	0.154398	0.196958	0.205547	0.126617	0.0583415	0.0542731	0.0521804	0.0483581
