 	la	mia	mia	mamma	mio	padre	mia	mamma	e	mio	padre	eh	non	sono	stati	mai	in	Grecia	</S>
a31	0.0445053	0.0540101	0.056911	0.0578726	0.0580544	0.0580886	0.0582181	0.0582003	0.058173	0.0581468	0.0579964	0.0562415	0.05525	0.0514763	0.0419181	0.0411579	0.0403136	0.0393552	0.0541107
a37	0.0119787	0.0149774	0.022795	0.0185217	0.0274993	0.0180776	0.0331394	0.0233494	0.0584993	0.100543	0.0957564	0.137072	0.155007	0.132745	0.0930698	0.0360652	0.0119074	0.00608657	0.00290985
a8	0.0411753	0.054688	0.0593074	0.0579369	0.0598224	0.0576626	0.0603617	0.0583343	0.0553882	0.0506633	0.0420971	0.0509798	0.0571852	0.0507435	0.0515669	0.0507142	0.0479857	0.0451016	0.048286
a31	0.0521831	0.0577861	0.0590565	0.0586485	0.0590435	0.0584219	0.0592336	0.0579395	0.0544958	0.0501636	0.0424129	0.0491603	0.0541177	0.0474527	0.0452994	0.0441066	0.0466137	0.0482489	0.0556156
a39	0.0445902	0.0596143	0.0645857	0.0630167	0.0649234	0.0623907	0.0653521	0.0621361	0.0576904	0.0514235	0.0406058	0.052378	0.0609726	0.0511035	0.0502484	0.0431434	0.0349778	0.0346609	0.0361867
a3	0.0518307	0.0584322	0.0599694	0.0595012	0.0599784	0.0592433	0.0601961	0.0587198	0.0549481	0.0502448	0.0419941	0.0491668	0.0545596	0.0471981	0.0446861	0.0431341	0.0449739	0.0466912	0.0545321
a8	0.0511811	0.0572031	0.0587317	0.0582344	0.0586999	0.0578624	0.0588794	0.0572457	0.0531717	0.0481737	0.0397192	0.0485395	0.0548058	0.0484023	0.0494855	0.050799	0.0498119	0.0458102	0.0532435
a31	0.0543925	0.0600985	0.0612337	0.0608346	0.0610833	0.0604483	0.0612806	0.059403	0.0541485	0.0482572	0.0389761	0.0470505	0.0538203	0.0449875	0.0426721	0.0421391	0.0452182	0.0460622	0.0578938
a7	0.0524372	0.0589837	0.0606852	0.0601944	0.0606823	0.0597826	0.0607978	0.0590021	0.0553365	0.0505954	0.0419778	0.051168	0.0571739	0.0503138	0.0493423	0.0455479	0.0404328	0.0405268	0.0450195
a27	0.0527108	0.0599058	0.0616377	0.0610453	0.0614746	0.0604391	0.0616861	0.059189	0.0529325	0.0461658	0.0362607	0.0464588	0.055034	0.0459959	0.0468605	0.0484906	0.0474087	0.0425247	0.0537795
a31	0.0536304	0.0583252	0.0593112	0.0589995	0.059218	0.0586731	0.0593649	0.0578743	0.0536781	0.0487136	0.0403438	0.0482558	0.0540731	0.0470796	0.0460328	0.0462903	0.0477562	0.0463467	0.0560332
a0	0.0544684	0.0601714	0.0615603	0.0611732	0.0614773	0.060694	0.061545	0.0595798	0.0553293	0.0501198	0.0410132	0.0507148	0.0572536	0.0496998	0.0482899	0.0440934	0.0388841	0.0391144	0.0448182
a31	0.0534394	0.0588033	0.0599031	0.0596132	0.0598818	0.0593919	0.0600564	0.0587503	0.055091	0.0506187	0.0426749	0.0491993	0.0540973	0.0467561	0.0432892	0.0415853	0.0440416	0.0466665	0.0561409
a37	0.0543121	0.0608668	0.0625059	0.0621252	0.0625009	0.0616707	0.0625446	0.0605577	0.0568699	0.0520908	0.0431951	0.0525035	0.05833	0.0506599	0.0469968	0.0396967	0.0342212	0.0367023	0.0416498
a31	0.0529435	0.059839	0.0614442	0.0610373	0.0614481	0.0606879	0.0616245	0.0598689	0.055641	0.0504876	0.0416049	0.0497977	0.0557765	0.0477006	0.0446265	0.0416002	0.0405864	0.0423741	0.0509112
a24	0.0546512	0.0621901	0.0640593	0.0636997	0.0640675	0.0631706	0.0641205	0.0617943	0.0573166	0.0517869	0.0420332	0.0520596	0.0587402	0.0496903	0.0450096	0.0375519	0.0322523	0.0345895	0.0412168
a31	0.0468892	0.0597663	0.0636008	0.062643	0.0639862	0.0622927	0.0643104	0.0620603	0.0589305	0.0541872	0.0450972	0.0536289	0.0591719	0.0506321	0.0452389	0.0368352	0.0325146	0.0367028	0.0415117
a20	0.0541261	0.062216	0.0642597	0.0640824	0.0644025	0.0636127	0.064458	0.0622519	0.0579712	0.0526501	0.0430744	0.052706	0.0589282	0.0497291	0.0434998	0.036097	0.0310006	0.0334483	0.0414861
a31	0.0513937	0.0598451	0.0618731	0.0615407	0.0621262	0.0614397	0.0623181	0.0611025	0.0590922	0.0561001	0.0496479	0.053798	0.0565894	0.0491657	0.0411066	0.0335009	0.0323041	0.0403528	0.0467032
a37	0.0529741	0.062612	0.0651067	0.0649342	0.0653872	0.0645203	0.0654619	0.0632526	0.0594664	0.0545147	0.0451288	0.054079	0.0595597	0.0499576	0.0414029	0.0324243	0.0277865	0.0316165	0.0398146
a39	0.0517884	0.0619127	0.0643549	0.0640787	0.0646553	0.0638659	0.0648698	0.0631257	0.059749	0.0552748	0.0466606	0.0529579	0.0573606	0.0477084	0.0387792	0.0313879	0.0296079	0.0361923	0.0456701
a17	0.0511704	0.0598586	0.0616337	0.061535	0.0619672	0.0616775	0.0622729	0.061536	0.059513	0.0568195	0.0511165	0.051699	0.0533955	0.0447375	0.0347916	0.0306125	0.0340163	0.0440825	0.057565
a31	0.0519466	0.0577286	0.0589257	0.0588966	0.0591223	0.0588618	0.0592923	0.0585729	0.0564647	0.0536932	0.0480538	0.0516161	0.0540703	0.0479082	0.0418579	0.0398487	0.041822	0.0449119	0.0564066
a28	0.0516907	0.0616953	0.064315	0.0643427	0.0647345	0.064013	0.0648683	0.062921	0.0590043	0.0540427	0.0448809	0.05336	0.0586985	0.0492288	0.0409035	0.03452	0.0302486	0.0327089	0.0438231
a38	0.0505046	0.0610587	0.063553	0.0634947	0.0639526	0.0633219	0.0642402	0.062628	0.0585107	0.0534821	0.0445683	0.0509272	0.0557086	0.045702	0.0375317	0.0345851	0.0346684	0.0374727	0.0540897
a31	0.0509271	0.0603882	0.0623166	0.0622905	0.0627015	0.0624324	0.0630353	0.0622094	0.0597531	0.0566	0.0501905	0.0511756	0.0531663	0.0437535	0.0334784	0.030004	0.0335931	0.0425824	0.0594021
a13	0.0504845	0.0607526	0.0634887	0.0636356	0.064053	0.0634402	0.0641959	0.0626414	0.0597815	0.0558986	0.0480562	0.054801	0.0585983	0.0500065	0.0402797	0.0335002	0.0295131	0.0328154	0.0440577
a8	0.0499273	0.0615295	0.0641325	0.0642045	0.0646545	0.0642074	0.0650191	0.0636805	0.0599072	0.0552979	0.0468457	0.0507426	0.0543118	0.0434472	0.0331775	0.0304022	0.0324801	0.0376708	0.0583615
a31	0.0506662	0.0608993	0.0629672	0.0628883	0.0633795	0.0631225	0.063772	0.0629802	0.0606216	0.0575876	0.0513031	0.0507635	0.052405	0.0423458	0.0314288	0.0276322	0.0316913	0.043288	0.0602578
a21	0.0488569	0.0602607	0.063367	0.0637946	0.0641796	0.063723	0.064367	0.0630848	0.0605805	0.0571685	0.0500617	0.0553634	0.0582121	0.0494534	0.037985	0.0322271	0.0289278	0.032014	0.046373
a35	0.0481372	0.0633425	0.066672	0.0665795	0.0673879	0.0670224	0.0680332	0.0669067	0.0636677	0.0596385	0.051628	0.0490845	0.0508106	0.037767	0.025466	0.0220115	0.0253965	0.0384078	0.0620407
a31	0.0505518	0.0590231	0.0607828	0.0608714	0.0612041	0.0610187	0.0614761	0.0609166	0.059255	0.0570452	0.0522366	0.0525214	0.0536084	0.045727	0.0355883	0.0322606	0.0352119	0.0424855	0.0582155
a24	0.0475069	0.0617895	0.0657731	0.066432	0.0668535	0.066343	0.0671302	0.0654646	0.0617264	0.0570249	0.04813	0.0544068	0.0582774	0.0469833	0.0339443	0.0291025	0.026347	0.0287613	0.0480034
a31	0.0489438	0.0627941	0.066244	0.0659561	0.066753	0.0657588	0.0671616	0.0650431	0.0602242	0.0543629	0.0443432	0.0507744	0.0561919	0.0441544	0.0343788	0.0299533	0.0297858	0.0348059	0.0523707
a11	0.0451842	0.0635875	0.0690942	0.0701536	0.070725	0.0701379	0.0710594	0.0690158	0.0652136	0.060323	0.0507113	0.0562368	0.059503	0.0455403	0.0282168	0.0213336	0.0186613	0.0226686	0.0426341
a41	0.0452915	0.0642582	0.0687908	0.0688845	0.0699316	0.069523	0.0707207	0.0695845	0.0668296	0.063262	0.0555927	0.0502402	0.0506982	0.0363715	0.0221102	0.0179381	0.0195949	0.0321456	0.0582322
a31	0.0452434	0.0631685	0.0675555	0.0679575	0.0687597	0.0684115	0.0694172	0.0683208	0.0653562	0.0615955	0.0538576	0.0515079	0.0524315	0.0386905	0.0240788	0.0205116	0.0223066	0.0315242	0.0593057
a3	0.0376248	0.0641102	0.0730896	0.0751412	0.0761684	0.0755941	0.0769208	0.0747457	0.0707359	0.0656005	0.0551879	0.0560345	0.0571782	0.0389291	0.0186421	0.0132074	0.0118435	0.0164492	0.0427968
a31	0.0391882	0.0656142	0.073181	0.074091	0.0754323	0.0748976	0.0765784	0.0747638	0.0700649	0.0644509	0.0537652	0.049031	0.0498486	0.032109	0.0169143	0.0140223	0.0147524	0.0226942	0.0586009
a28	0.0288601	0.0627051	0.076754	0.0805074	0.0822151	0.0816745	0.0836085	0.081131	0.076773	0.0712548	0.059619	0.0543306	0.0530792	0.0313147	0.0113872	0.00750525	0.00671129	0.010736	0.0398334
a37	0.0311079	0.0654273	0.0773678	0.0790547	0.0813621	0.0808121	0.0833845	0.0813388	0.0763478	0.0704441	0.0585	0.0451523	0.0437276	0.0246071	0.0110436	0.00886859	0.00900699	0.0160671	0.0563797
a20	0.0287358	0.0631406	0.0761813	0.0788848	0.0809721	0.0805771	0.082883	0.0811061	0.0765485	0.0711176	0.059901	0.0476455	0.0456676	0.0260314	0.011042	0.00908589	0.00925118	0.014987	0.0562416
a31	0.0251299	0.0606996	0.0757105	0.079364	0.0816914	0.0815019	0.0839536	0.0825468	0.078624	0.0739964	0.0636794	0.046892	0.0432437	0.0239544	0.00978763	0.00841416	0.0087576	0.0138244	0.0582285
a18	0.016436	0.0541268	0.0782114	0.0868979	0.0900677	0.0898826	0.0930996	0.0905099	0.085628	0.0797531	0.0664921	0.0493829	0.0443583	0.0212269	0.00556563	0.0036966	0.00326454	0.00571623	0.0356837
a3	0.01995	0.0594335	0.0788498	0.0822619	0.0866164	0.0864032	0.0907068	0.0891282	0.0851298	0.0806396	0.0690047	0.0370992	0.0324675	0.0161592	0.00674548	0.0058318	0.00586889	0.0109335	0.0567705
a20	0.0173835	0.0553683	0.0779827	0.0851291	0.0887199	0.0886512	0.0926221	0.0905314	0.0844399	0.0777893	0.0638008	0.0412738	0.0364914	0.0175984	0.00663183	0.00587318	0.00610693	0.00947088	0.0541354
a11	0.0162631	0.0548927	0.078311	0.0855676	0.0893456	0.0892437	0.0932949	0.0911682	0.0850664	0.0783582	0.0642472	0.0408772	0.0362548	0.0170955	0.00613507	0.00551074	0.00561933	0.00874062	0.0540082
a27	0.0167094	0.0554547	0.0788985	0.0859952	0.0899435	0.0897892	0.0941745	0.0918021	0.0849419	0.0775549	0.0625605	0.0391224	0.0347677	0.0162766	0.0062374	0.00567369	0.0058918	0.00918684	0.0550191
a38	0.0172756	0.0565654	0.0790785	0.0844504	0.0891328	0.0890223	0.0939252	0.0920006	0.0864803	0.0805329	0.0666589	0.0352491	0.0304103	0.0143391	0.00606657	0.00556145	0.00579946	0.0100223	0.0574289
a35	0.0181853	0.0574255	0.0785758	0.0824462	0.087461	0.0873705	0.0923572	0.090882	0.0868161	0.0824726	0.0705789	0.0340502	0.0290145	0.0141859	0.00632397	0.00581153	0.00601785	0.0107967	0.0592282
a31	0.0211974	0.0594666	0.0775965	0.0814388	0.0850028	0.0848818	0.0884973	0.0870688	0.0829744	0.0783796	0.0672025	0.0397827	0.0350561	0.0177782	0.00747077	0.0067072	0.00705148	0.0122475	0.0601997
a8	0.00904396	0.038993	0.0717564	0.0899591	0.0947644	0.0955997	0.100317	0.0983544	0.092467	0.0861739	0.0717202	0.0452743	0.0373856	0.0159395	0.0039473	0.00337926	0.00323075	0.00442735	0.0372673
a31	0.0159265	0.0538787	0.0798164	0.0806743	0.0903209	0.0897655	0.0995275	0.0971441	0.0917474	0.0862677	0.069584	0.0248148	0.0221185	0.0118248	0.00649001	0.00639147	0.00621048	0.00932418	0.058173
a23	0.00705693	0.035792	0.0712666	0.0912046	0.0978221	0.0988994	0.105319	0.103309	0.0987599	0.0942447	0.0805515	0.0389869	0.0300224	0.0115673	0.00229508	0.00158828	0.00144106	0.00285935	0.0270138
a31	0.0114222	0.0416411	0.0749243	0.0755407	0.0927984	0.0920398	0.112567	0.108966	0.102686	0.0976397	0.0737808	0.0190761	0.0165958	0.00954032	0.00576688	0.00583396	0.005502	0.00675042	0.0469281
a39	0.00582133	0.0327139	0.070633	0.0927332	0.101558	0.102803	0.112016	0.109214	0.103003	0.0971589	0.0795502	0.0316274	0.0239562	0.00879625	0.00172503	0.00113476	0.00100902	0.00222362	0.0223235
a18	0.00975292	0.0409672	0.0760983	0.0793013	0.0955255	0.0950156	0.113635	0.110107	0.103166	0.0972851	0.0737899	0.0182535	0.0152829	0.00809194	0.00467647	0.00458273	0.00434423	0.00578916	0.0443356
a24	0.0116503	0.0487773	0.0781965	0.0858891	0.0935392	0.0937088	0.101635	0.0997004	0.0944554	0.0893674	0.0742137	0.0275004	0.0220938	0.0100406	0.00435735	0.00399831	0.00402271	0.00707684	0.0497768
a28	0.0132941	0.0547305	0.0848831	0.0929787	0.0993877	0.0983963	0.106229	0.10057	0.0862216	0.0730901	0.0528727	0.0285568	0.0269161	0.0107572	0.00442424	0.00425707	0.00424834	0.00652674	0.0516601
a3	0.00956694	0.0470114	0.0810668	0.0917374	0.100021	0.0997769	0.10903	0.104844	0.0936019	0.0827032	0.0615383	0.0258261	0.0222898	0.00900336	0.00354207	0.00340168	0.0033153	0.00518189	0.0465423
