 	l	ho	sentito	quando	veniva	</S>
a31	0.0614048	0.0220419	0.00132243	0.0067917	0.247734	0.660706
a46	0.0177905	0.00413548	0.000287953	0.0210439	0.258658	0.698084
a41	0.00868418	0.00160238	7.8623e-05	0.0046795	0.190162	0.794794
a31	0.00553835	0.0016022	6.61407e-05	0.00252442	0.309293	0.680975
a24	0.00712636	0.00249258	0.000229385	0.0111569	0.436732	0.542262
a31	0.00662545	0.00208333	9.45735e-05	0.00593576	0.37924	0.606021
a15	0.00195593	0.000656207	5.54721e-05	0.00267009	0.469416	0.525246
a46	0.000757817	0.000258322	2.08199e-05	0.000256492	0.352176	0.64653
a31	0.000413199	0.000135056	9.20692e-06	0.000201957	0.402605	0.596636
a0	0.000295556	0.000156546	2.20926e-05	0.000242671	0.378208	0.621075
a41	0.000351343	0.000152091	1.79433e-05	0.000133712	0.352119	0.647226
</S>	0.000364352	0.000156471	2.11848e-05	0.000152035	0.320745	0.678561
