 	il	dito	si	gonfiò	</S>
a39	0.0755686	0.0312168	0.114958	0.443946	0.33431
a13	0.134313	0.214859	0.179524	0.270176	0.201127
a31	0.0472413	0.107374	0.308338	0.31775	0.219296
a20	0.016313	0.0267808	0.321944	0.404553	0.230409
a31	0.0392767	0.0792061	0.319015	0.342449	0.220053
a11	0.0106207	0.0134609	0.273265	0.428755	0.273899
a31	0.0505704	0.0522416	0.278174	0.37524	0.243774
a39	0.00942529	0.00710556	0.163577	0.464924	0.354968
a31	0.0564571	0.0215908	0.150844	0.449961	0.321147
a41	0.00663978	0.00324019	0.0379735	0.44793	0.504216
a46	0.00707465	0.00338562	0.0204979	0.445571	0.523471
a31	0.0192791	0.00617305	0.0218544	0.424883	0.527811
</S>	0.00451234	0.00355039	0.00876216	0.20107	0.782105
