 	l	anno	che	viene	mia	sorella	sta	per	sta	per	studiare	medicina	</S>
a8	0.070277	0.0750449	0.0774785	0.0781427	0.0789389	0.0794577	0.0791701	0.0791068	0.0789993	0.0786075	0.0766924	0.074833	0.0732512
a31	0.0131602	0.0254461	0.0482945	0.0770845	0.0985257	0.11378	0.110946	0.109353	0.107234	0.101135	0.0968487	0.0792957	0.0188979
a23	0.0226399	0.0476734	0.0824513	0.116147	0.135168	0.147103	0.125166	0.104804	0.0867888	0.0583073	0.0390523	0.0273351	0.00736461
a31	0.0767383	0.0859625	0.0897496	0.0913455	0.0922046	0.0926791	0.086501	0.0795414	0.0726145	0.0616014	0.0530283	0.0720938	0.0459402
a39	0.0674156	0.0963439	0.109376	0.116159	0.118353	0.119577	0.102635	0.0854633	0.0696355	0.0445005	0.0261596	0.0319958	0.0123858
a8	0.0796551	0.0891782	0.0936029	0.0953405	0.0964939	0.0972198	0.0881943	0.0786835	0.0697673	0.0562938	0.0452556	0.0670631	0.043252
a31	0.0769422	0.0814668	0.0843707	0.0851708	0.08602	0.0866656	0.0822381	0.0771645	0.0719331	0.0633834	0.0566626	0.0751824	0.0727999
a13	0.0852195	0.101927	0.107746	0.110919	0.11185	0.112392	0.0970581	0.0813315	0.0667295	0.0435001	0.026132	0.0366813	0.0185152
a31	0.0817697	0.0897471	0.0931662	0.0946771	0.0956352	0.096161	0.086155	0.0759479	0.0667566	0.0536812	0.0434125	0.0684178	0.0544727
a46	0.0901558	0.103956	0.108359	0.111013	0.111767	0.11216	0.095615	0.0791167	0.0642828	0.0415959	0.0249094	0.0371161	0.0199541
a35	0.0734233	0.080802	0.0869144	0.0882877	0.0901896	0.0918269	0.0859244	0.0795501	0.0731496	0.0627171	0.0541032	0.072289	0.0608228
a24	0.0777678	0.0818072	0.0839567	0.0846517	0.0852544	0.0856676	0.0816906	0.0770382	0.0721681	0.0640543	0.0577852	0.0753144	0.0728439
a18	0.0822829	0.0918759	0.0950226	0.0968979	0.0977423	0.0980003	0.0852601	0.0731147	0.0629622	0.0496932	0.0403628	0.0677877	0.0589973
a17	0.0831999	0.091211	0.0941637	0.0957988	0.0967123	0.0970642	0.0840184	0.0718236	0.0618275	0.0491928	0.0405239	0.0689474	0.0655167
