 	voglio	che	Maria	viene	domani	</S>
a33	0.202989	0.120205	0.12236	0.117442	0.201543	0.235462
a31	0.163345	0.167828	0.205906	0.200635	0.158136	0.10415
a11	0.14825	0.0643628	0.233693	0.299249	0.200672	0.0537716
a31	0.0757262	0.0460477	0.153679	0.251538	0.297199	0.17581
a18	0.0787908	0.0272958	0.12664	0.262383	0.355262	0.149629
a31	0.0733184	0.0394676	0.141176	0.244121	0.309837	0.19208
a42	0.0683472	0.0164668	0.0831824	0.211032	0.401426	0.219546
a37	0.0881085	0.0687553	0.171584	0.216735	0.252629	0.202187
a31	0.142452	0.0589419	0.146437	0.176254	0.272306	0.20361
a20	0.309407	0.0189911	0.0495801	0.0620504	0.295401	0.26457
a31	0.2541	0.0441736	0.100245	0.100075	0.278468	0.222939
a8	0.381416	0.0152201	0.0296115	0.0402823	0.231934	0.301535
</S>	0.279152	0.0410798	0.0806705	0.0967069	0.265218	0.237173
