 	nella	pasta	metti	sale	vuole	il	sale	</S>
a28	0.160978	0.216356	0.0164822	0.0613555	0.0405386	0.109742	0.185219	0.209329
a31	0.0752882	0.122278	0.0068328	0.0690364	0.102708	0.217544	0.239463	0.16685
a7	0.102527	0.198855	0.00682936	0.0180442	0.0151504	0.137155	0.337375	0.184065
a46	0.132559	0.194617	0.00775674	0.0107476	0.00858754	0.0997104	0.323106	0.222916
a10	0.184268	0.210517	0.00471231	0.00823291	0.0070539	0.103458	0.267877	0.213881
a14	0.127074	0.140914	0.00815473	0.00904669	0.00813607	0.106251	0.317857	0.282566
a31	0.123809	0.129911	0.00862302	0.0129416	0.0132576	0.146266	0.298624	0.266568
a0	0.167651	0.196434	0.00453984	0.00480483	0.00345107	0.0538043	0.289468	0.279846
a20	0.147915	0.156255	0.00671893	0.0300049	0.0347297	0.179355	0.234992	0.21003
a31	0.146139	0.155587	0.00567006	0.0218561	0.0218595	0.15912	0.25027	0.239499
a10	0.314677	0.365779	0.000796413	0.00138803	0.000708439	0.0119063	0.110053	0.194692
a0	0.240778	0.302372	0.00130038	0.00568471	0.00328162	0.0639471	0.193649	0.188987
a18	0.129778	0.226048	0.00234452	0.0146028	0.00956879	0.0982277	0.250187	0.269244
a17	0.180604	0.287331	0.00213658	0.010953	0.00507174	0.0668324	0.210109	0.236962
a8	0.149712	0.270105	0.00191721	0.0101312	0.00480401	0.0661962	0.227215	0.269919
</S>	0.115573	0.238491	0.00446091	0.019573	0.0114795	0.0756307	0.24104	0.293753
