 	la	casa	la	costruiscono	i	muratori	</S>
a31	0.135353	0.139293	0.136713	0.168033	0.165366	0.161417	0.0938253
a18	0.0669357	0.0938158	0.14243	0.404529	0.184274	0.0904198	0.0175956
a31	0.11865	0.155123	0.15558	0.188643	0.182145	0.151448	0.0484118
a20	0.0950143	0.154582	0.144841	0.247679	0.208916	0.11713	0.0318376
a31	0.111029	0.157095	0.158668	0.214029	0.195426	0.128524	0.0352282
a37	0.0866268	0.147765	0.138235	0.250114	0.215121	0.126587	0.0355511
a18	0.110668	0.156485	0.156382	0.218748	0.196306	0.123629	0.0377815
a46	0.116151	0.147034	0.153811	0.191267	0.184466	0.153674	0.0535964
a31	0.117581	0.128965	0.149039	0.172602	0.170641	0.164056	0.0971157
a46	0.10146	0.148458	0.134507	0.261174	0.20424	0.109155	0.0410055
a31	0.113416	0.112842	0.153347	0.186577	0.183341	0.168499	0.081979
a46	0.100028	0.13994	0.112815	0.298555	0.197751	0.107067	0.0438436
a31	0.102827	0.0948314	0.151497	0.204806	0.199059	0.172394	0.0745845
a46	0.0901035	0.121318	0.0867792	0.340624	0.195361	0.117464	0.0483502
a31	0.0896529	0.0794312	0.141841	0.224865	0.215437	0.176065	0.0727081
a18	0.0748289	0.0960199	0.064649	0.381177	0.196446	0.133349	0.0535305
a31	0.103361	0.0918704	0.147283	0.245866	0.217593	0.134434	0.0595922
a37	0.0627499	0.0778454	0.0586453	0.396611	0.205464	0.139984	0.0587001
a13	0.0978703	0.0869704	0.135985	0.271729	0.222052	0.124218	0.0611756
a31	0.0859807	0.0744673	0.132083	0.239173	0.224133	0.174013	0.0701493
a20	0.0408914	0.0483461	0.0479325	0.420529	0.22066	0.152961	0.0686799
a31	0.0762861	0.065184	0.118282	0.277519	0.241532	0.152898	0.0682982
a20	0.0201549	0.0228107	0.0287522	0.471077	0.208766	0.179144	0.0692945
a31	0.0628939	0.0540303	0.0940585	0.310856	0.254939	0.151985	0.0712371
a20	0.0109709	0.0117309	0.0202973	0.497777	0.192215	0.198107	0.068902
</S>	0.0508896	0.0444523	0.0739025	0.337953	0.264364	0.155359	0.0730803
