 	volevo	Maria	domani	di	venire	da	me	</S>
a20	0.0373792	0.126723	0.1379	0.152894	0.0989042	0.137915	0.154126	0.154159
a24	0.0462511	0.0545013	0.10595	0.243747	0.301214	0.198072	0.0425263	0.00773852
a31	0.0611867	0.144788	0.195793	0.20564	0.146352	0.150055	0.0737214	0.0224645
a17	0.0546475	0.202698	0.246989	0.223458	0.084262	0.109592	0.0565051	0.0218482
a31	0.0438536	0.154471	0.167421	0.165548	0.12582	0.152467	0.126058	0.0643611
a37	0.0555104	0.240984	0.253658	0.203687	0.0543337	0.0880457	0.0676593	0.0361217
a10	0.0417045	0.184604	0.202819	0.193287	0.107702	0.136648	0.0896349	0.0436022
a31	0.0400419	0.165536	0.18122	0.174107	0.106633	0.147623	0.120745	0.0640943
a20	0.0493312	0.232295	0.243808	0.200649	0.05702	0.0946342	0.0765379	0.045724
a33	0.0394648	0.167303	0.185135	0.187122	0.130274	0.14514	0.0963999	0.0491617
a20	0.0211134	0.102957	0.122663	0.142983	0.140236	0.152295	0.16941	0.148343
a31	0.0455441	0.136945	0.145575	0.148997	0.132985	0.144954	0.139179	0.105821
a5	0.0469425	0.224757	0.233401	0.197697	0.0608628	0.0977199	0.081657	0.0569627
a17	0.0284583	0.155614	0.174356	0.18003	0.129397	0.149691	0.115031	0.0674219
a11	0.0146834	0.10543	0.128707	0.150031	0.137989	0.156058	0.171539	0.135563
a10	0.0191485	0.119347	0.137642	0.152128	0.13653	0.151657	0.157882	0.125666
a31	0.0107856	0.114589	0.141257	0.158424	0.115383	0.150998	0.176034	0.132529
a24	0.0185618	0.190992	0.212758	0.204757	0.0686222	0.111937	0.107666	0.0847053
a46	0.0141302	0.12831	0.162057	0.194109	0.140977	0.15527	0.126442	0.0787046
a20	0.0107777	0.062225	0.0822942	0.118468	0.135303	0.146084	0.234152	0.210696
a31	0.00848321	0.0721451	0.101369	0.147912	0.143316	0.159373	0.200946	0.166456
a20	0.00732663	0.159359	0.201777	0.209613	0.0333657	0.0683881	0.133944	0.186226
a31	0.0149002	0.0769158	0.105228	0.155051	0.123884	0.147576	0.215519	0.160926
</S>	0.014206	0.208848	0.187563	0.115208	0.0185151	0.0280765	0.113562	0.314021
