 	io	non	sono	ancora	pronta	bisogna	venire	alle	sette	</S>
a8	0.015291	0.0712221	0.0640033	0.137229	0.112689	0.0395886	0.0955612	0.146085	0.166742	0.15159
a31	0.088094	0.11523	0.139473	0.173635	0.185985	0.0574942	0.131705	0.0554147	0.0379266	0.0150436
a3	0.0980408	0.143693	0.16571	0.250185	0.220196	0.00584344	0.0625488	0.0307964	0.015952	0.00703611
a20	0.0977694	0.118757	0.107408	0.158635	0.114474	0.00858171	0.139336	0.134912	0.0839886	0.0361379
a31	0.0858229	0.107772	0.0972968	0.144876	0.104911	0.0080567	0.137097	0.148906	0.109852	0.05541
a24	0.10583	0.142027	0.12666	0.204421	0.126877	0.00358046	0.0720809	0.119065	0.0681372	0.0313218
a31	0.097077	0.133846	0.119234	0.183206	0.127907	0.00450975	0.107962	0.113892	0.0735208	0.0388458
a17	0.0963072	0.139328	0.122928	0.201211	0.121966	0.00238324	0.0570927	0.123663	0.0833842	0.0517365
a31	0.0762067	0.114149	0.0986921	0.14694	0.109652	0.00640918	0.127566	0.143203	0.108733	0.0684488
a17	0.0994765	0.159217	0.140075	0.217788	0.144494	0.00136099	0.0383693	0.082217	0.0678414	0.0491616
a20	0.0621458	0.117542	0.0983379	0.151537	0.116031	0.00485093	0.113293	0.143981	0.115833	0.076448
a41	0.0598911	0.112599	0.0979197	0.146659	0.11735	0.0061626	0.116973	0.141213	0.118797	0.0824354
a31	0.0440328	0.0956999	0.0806451	0.139492	0.100882	0.00488431	0.123758	0.1613	0.142703	0.106604
a17	0.0599079	0.1413	0.120852	0.216615	0.14022	0.00130229	0.0558816	0.107711	0.0877186	0.0684906
a31	0.0361193	0.0984403	0.0779887	0.133526	0.105694	0.00628426	0.118496	0.156381	0.14982	0.11725
a24	0.0425217	0.143214	0.119191	0.23651	0.159472	0.000832856	0.0422132	0.0937675	0.0871675	0.0751111
a31	0.0332395	0.120937	0.0940651	0.209318	0.143397	0.00135845	0.0851982	0.12983	0.105765	0.0768912
a32	0.0233179	0.127821	0.1007	0.274246	0.165057	0.000368239	0.0276044	0.0873772	0.0984163	0.0950929
a31	0.0128348	0.0821003	0.0587287	0.216621	0.124628	0.00028494	0.0490568	0.146909	0.159952	0.148884
a20	0.0121072	0.0862733	0.0620579	0.270729	0.132323	0.000104674	0.0196837	0.0925606	0.146432	0.177728
a31	0.0110718	0.0695808	0.0453662	0.144627	0.104393	0.000435329	0.0426843	0.143733	0.215743	0.222366
a46	0.0130195	0.0837583	0.0581266	0.246125	0.112	5.90176e-05	0.00939341	0.0619678	0.156665	0.258886
a33	0.0144458	0.045851	0.0331395	0.0798088	0.0631348	0.00200836	0.0467433	0.123678	0.254932	0.336259
</S>	0.0126522	0.0409829	0.0301522	0.0646051	0.0560035	0.0037013	0.0418786	0.113039	0.259133	0.377853
