 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a8	0.23669	0.0949154	0.184305	0.0869301	0.0918207	0.111094	0.0997777	0.0944675
a31	0.154194	0.104908	0.192331	0.198244	0.157203	0.0709904	0.0912076	0.0309218
a37	0.278803	0.170226	0.304322	0.110383	0.0681834	0.0168721	0.0348532	0.0163582
a20	0.167372	0.0846752	0.223341	0.119703	0.140286	0.0854237	0.130828	0.0483704
a29	0.148424	0.0718936	0.206417	0.111735	0.141427	0.0971154	0.156582	0.0664061
a14	0.131782	0.0654977	0.195358	0.0998666	0.135696	0.101479	0.181484	0.0888363
a21	0.128355	0.06631	0.181894	0.112143	0.140914	0.112206	0.168032	0.0901471
a31	0.110784	0.0485732	0.149093	0.113975	0.138797	0.131436	0.169185	0.138157
a20	0.181526	0.0800964	0.231125	0.0779596	0.102124	0.0754319	0.168975	0.0827622
a6	0.139575	0.0518446	0.172614	0.119654	0.140642	0.122022	0.161368	0.0922803
a31	0.117947	0.0354277	0.137038	0.110429	0.133514	0.137833	0.175703	0.152108
a8	0.277055	0.141409	0.237512	0.0666397	0.0684082	0.0561525	0.0966176	0.0562064
a20	0.134455	0.0341937	0.127643	0.0973103	0.122162	0.13685	0.203281	0.144105
a31	0.138126	0.053837	0.143076	0.116581	0.129699	0.132535	0.155087	0.131059
a37	0.318092	0.123321	0.255705	0.053902	0.0539576	0.0483877	0.0911569	0.0554781
a31	0.175209	0.0459989	0.167347	0.106402	0.121981	0.121675	0.164157	0.0972303
a24	0.513794	0.119597	0.234321	0.0213937	0.0189187	0.0201323	0.0442817	0.0275617
a31	0.306446	0.0715314	0.231554	0.0799471	0.076377	0.0704997	0.112518	0.0511267
a20	0.65191	0.0751867	0.188826	0.0112532	0.0100115	0.011467	0.0333481	0.017998
a31	0.326235	0.0899255	0.206613	0.0544278	0.0550167	0.0634005	0.152386	0.0519956
a7	0.825793	0.0340242	0.0810446	0.00499389	0.00488538	0.00569302	0.0328087	0.0107574
a35	0.486422	0.115064	0.201382	0.0234789	0.0210599	0.0252967	0.0999493	0.0273475
</S>	0.227717	0.0836684	0.189105	0.0697287	0.0731594	0.0890621	0.192844	0.0747153
