 	se	avevi	visto	le	nuvole	sapevi	che	piove	</S>
a20	0.115627	0.112396	0.12311	0.121594	0.127857	0.0732656	0.112447	0.110447	0.103256
a13	0.025562	0.0282702	0.125145	0.154782	0.271047	0.143667	0.214558	0.0329286	0.00404065
a20	0.0637711	0.0885437	0.160352	0.161428	0.164555	0.101455	0.142576	0.0972233	0.0200964
a7	0.0674359	0.0931958	0.160219	0.160939	0.163436	0.0939651	0.136505	0.101615	0.022689
a36	0.0956445	0.121819	0.160535	0.159133	0.15715	0.0729608	0.114549	0.095632	0.0225761
a7	0.118169	0.129412	0.138674	0.136905	0.136348	0.062613	0.106816	0.116108	0.0549547
a31	0.114002	0.134209	0.149206	0.146578	0.144393	0.0560797	0.0970212	0.113048	0.0454627
a37	0.126722	0.161877	0.176151	0.168966	0.157732	0.0449372	0.0629736	0.0789093	0.0217333
a31	0.117084	0.134964	0.156704	0.153351	0.151867	0.05465	0.101686	0.10012	0.029575
a37	0.12956	0.166324	0.180906	0.172616	0.158906	0.0424168	0.0564591	0.0720779	0.0207339
a41	0.118688	0.134714	0.164231	0.159989	0.157865	0.0547226	0.103485	0.0849623	0.0213441
a21	0.125796	0.132283	0.145052	0.141329	0.143042	0.0473957	0.100712	0.111953	0.0524372
a31	0.123544	0.118586	0.129902	0.126623	0.131983	0.0498786	0.109199	0.118044	0.0922396
a39	0.135323	0.156422	0.166024	0.160934	0.151486	0.0494685	0.0722501	0.0796258	0.0284678
a13	0.129665	0.117168	0.13469	0.130154	0.139345	0.0497552	0.116341	0.113692	0.0691899
a31	0.120708	0.120738	0.129069	0.126353	0.129444	0.05075	0.105366	0.118083	0.0994878
a20	0.137277	0.153433	0.161643	0.15699	0.148886	0.0506237	0.0768168	0.0811709	0.0331588
a31	0.129758	0.126476	0.143986	0.140005	0.144495	0.0553572	0.113773	0.102529	0.0436204
a35	0.142467	0.157108	0.165851	0.160418	0.149615	0.0498318	0.0729385	0.0719582	0.0298125
a31	0.142733	0.111951	0.137065	0.1295	0.147075	0.0420211	0.117351	0.106015	0.0662887
a26	0.146131	0.151384	0.161946	0.156581	0.147609	0.0538646	0.0799232	0.0693855	0.0331766
a9	0.15635	0.12685	0.158884	0.148855	0.161675	0.0387172	0.10576	0.0759535	0.026956
a33	0.151771	0.0975563	0.131707	0.120559	0.152722	0.0349797	0.114907	0.104914	0.0908847
a31	0.132355	0.102948	0.124768	0.11808	0.135511	0.0402668	0.115105	0.11392	0.117046
a39	0.141437	0.142108	0.155311	0.150437	0.149086	0.0504258	0.0867095	0.0807612	0.043724
a24	0.140026	0.104684	0.134513	0.125	0.148523	0.0293843	0.114097	0.111323	0.0924498
a37	0.128402	0.12787	0.140731	0.137061	0.140485	0.0506485	0.106761	0.106422	0.0616179
a7	0.130804	0.126733	0.14361	0.138398	0.145678	0.0377082	0.0999059	0.109553	0.0676098
a17	0.123179	0.12232	0.136663	0.132432	0.138789	0.0404681	0.104645	0.115704	0.0857998
a24	0.125882	0.115712	0.131925	0.126804	0.136282	0.0364816	0.107339	0.117779	0.101796
a34	0.122107	0.124129	0.134283	0.131532	0.134432	0.0530854	0.107791	0.11539	0.0772506
a37	0.12627	0.135846	0.14331	0.140216	0.1396	0.049827	0.0945928	0.108984	0.0613548
a31	0.126455	0.120851	0.132813	0.129194	0.134978	0.0486875	0.108655	0.114032	0.0843344
a37	0.135382	0.139827	0.150209	0.146493	0.145709	0.0533894	0.0884471	0.0888018	0.0517417
a41	0.138875	0.114065	0.137808	0.130402	0.146126	0.0364344	0.112225	0.10762	0.0764439
a31	0.135864	0.108339	0.135876	0.126956	0.147034	0.0266356	0.107431	0.113496	0.0983676
a28	0.144557	0.139484	0.161601	0.154112	0.158172	0.0372563	0.0824065	0.077342	0.0450705
a20	0.151495	0.0983083	0.141309	0.126263	0.164746	0.0196947	0.110093	0.104247	0.0838444
a17	0.14891	0.0921188	0.138551	0.122023	0.166922	0.0167195	0.107461	0.107044	0.100251
a31	0.145566	0.0895192	0.135049	0.118558	0.163365	0.0150085	0.105981	0.110329	0.116624
a24	0.13926	0.126283	0.16833	0.155514	0.176759	0.0219525	0.0800386	0.0810381	0.0508259
a20	0.154156	0.104119	0.153203	0.136071	0.175131	0.0173511	0.107853	0.0957973	0.056319
</S>	0.163768	0.0807868	0.140888	0.117229	0.191775	0.0130477	0.102526	0.0980179	0.091962
