 	i	bambini	non	si	vestono	da	soli	</S>
a31	0.122902	0.127246	0.134168	0.13541	0.133255	0.130846	0.117277	0.0988954
a0	0.12211	0.254666	0.241014	0.219021	0.0732705	0.0604484	0.0197058	0.00976357
a31	0.168162	0.152269	0.113672	0.153845	0.139811	0.132315	0.0861146	0.0538117
a17	0.217352	0.20116	0.143977	0.193614	0.0881959	0.0735343	0.0538744	0.0282915
a20	0.173925	0.154651	0.111186	0.156535	0.138087	0.129858	0.0831444	0.0526145
a31	0.170316	0.160089	0.127684	0.161011	0.139374	0.120814	0.0733392	0.0473736
a37	0.223017	0.191557	0.126341	0.188013	0.093824	0.0804188	0.0616277	0.0352023
a15	0.192734	0.173397	0.125977	0.174241	0.127577	0.100703	0.0640964	0.0412757
a46	0.145573	0.134919	0.104852	0.137018	0.133053	0.138509	0.118602	0.0874733
a24	0.139589	0.134162	0.114684	0.135475	0.132684	0.134406	0.117264	0.0917353
a31	0.165275	0.144363	0.102982	0.147608	0.137146	0.138471	0.0988401	0.0653154
a18	0.207124	0.17881	0.123416	0.179663	0.111707	0.0885774	0.065067	0.0456361
a11	0.16549	0.155556	0.124307	0.15757	0.141263	0.123708	0.0777826	0.0543234
a35	0.15488	0.143111	0.11152	0.145999	0.138714	0.136472	0.0999648	0.0693397
a31	0.145989	0.135027	0.104646	0.138239	0.13447	0.138991	0.11665	0.0859867
a13	0.192584	0.178115	0.140366	0.180845	0.114457	0.0843636	0.0616243	0.0476439
a11	0.151357	0.145299	0.118944	0.149049	0.140992	0.133766	0.0941982	0.0663946
a31	0.14614	0.138325	0.111769	0.143496	0.138379	0.137853	0.107145	0.0768937
a46	0.189229	0.1794	0.148358	0.186384	0.107032	0.0786505	0.0617559	0.0491912
a31	0.120776	0.141814	0.13206	0.149909	0.143571	0.135467	0.101953	0.074449
a24	0.18304	0.196667	0.192609	0.197367	0.061593	0.0600235	0.0614537	0.0472467
a35	0.166405	0.183906	0.172797	0.188931	0.109072	0.0736296	0.0572783	0.0479808
a31	0.10054	0.141221	0.143303	0.162523	0.151523	0.136095	0.0956276	0.0691692
a46	0.149317	0.184096	0.208914	0.215773	0.0549464	0.0610364	0.0719488	0.0539695
a31	0.0719703	0.146149	0.173106	0.19107	0.15806	0.121568	0.0784559	0.0596214
</S>	0.12403	0.189963	0.231433	0.226416	0.0349399	0.0536567	0.0844108	0.0551504
