 	il	muro	vuole	uno	specchio	</S>
a23	0.257043	0.220293	0.0846847	0.0916167	0.163374	0.182989
a20	0.234658	0.19102	0.235211	0.215965	0.0893706	0.0337756
a31	0.178914	0.103576	0.198793	0.296184	0.160271	0.0622616
a24	0.37737	0.0897188	0.093238	0.212193	0.159509	0.067971
a31	0.23378	0.0643883	0.0754833	0.239922	0.27166	0.114767
a13	0.271347	0.0517549	0.0358885	0.127829	0.355267	0.157913
a39	0.203951	0.0604266	0.0819094	0.242183	0.276061	0.13547
a20	0.146912	0.0650197	0.111284	0.236841	0.264922	0.175021
a31	0.138463	0.0638949	0.105569	0.236203	0.270446	0.185425
a24	0.298415	0.046621	0.0281126	0.0991231	0.326052	0.201676
a8	0.316598	0.104507	0.101621	0.171876	0.191151	0.114246
a31	0.132925	0.07499	0.119692	0.204932	0.246045	0.221416
a20	0.670506	0.0640846	0.0122481	0.016259	0.103249	0.133653
a31	0.260638	0.123851	0.114622	0.165257	0.191796	0.143835
a29	0.758032	0.045235	0.0056108	0.00837373	0.0707175	0.112031
a31	0.436859	0.157903	0.0536859	0.0690211	0.139598	0.142932
a8	0.843283	0.0307274	0.00281264	0.00538781	0.0421647	0.075624
a20	0.415828	0.181896	0.0709302	0.0694008	0.11759	0.144355
</S>	0.480825	0.180449	0.0324335	0.0425663	0.115213	0.148514
