 	io	nella	mia	vita	ho	sempre	lavorato	</S>
a8	0.0289329	0.115328	0.14574	0.154192	0.147739	0.0970231	0.152172	0.158872
a31	0.111095	0.127049	0.175439	0.181251	0.177293	0.140691	0.072121	0.0150614
a29	0.122557	0.153812	0.210222	0.214967	0.175432	0.0953694	0.0222012	0.00543924
a10	0.134549	0.158511	0.171104	0.169038	0.14085	0.127031	0.0780244	0.020893
a24	0.125557	0.158594	0.172695	0.169094	0.131234	0.122987	0.0920416	0.0277981
a31	0.117139	0.156417	0.169106	0.164707	0.123898	0.116824	0.107137	0.0447719
a24	0.120036	0.175373	0.197294	0.188362	0.117196	0.0929393	0.0778326	0.0309671
a16	0.124712	0.165003	0.177444	0.174714	0.139063	0.109828	0.0799207	0.0293152
a31	0.107772	0.145635	0.155935	0.153264	0.125384	0.107988	0.121405	0.0826166
a20	0.118483	0.175625	0.192582	0.1878	0.128943	0.0893367	0.0719592	0.0352721
a31	0.106807	0.159077	0.173251	0.170789	0.138082	0.101793	0.0999435	0.0502579
a11	0.105335	0.178685	0.200499	0.195225	0.128708	0.084574	0.0720278	0.0349472
a17	0.0989435	0.159463	0.175061	0.173524	0.144985	0.0969788	0.0984439	0.0526011
a11	0.08813	0.141309	0.154931	0.153858	0.132894	0.0906175	0.123916	0.114344
a17	0.0839187	0.136448	0.148968	0.147683	0.127566	0.103478	0.131923	0.120016
a31	0.0821117	0.137588	0.152335	0.149763	0.120327	0.0964381	0.133182	0.128255
a20	0.0877808	0.162806	0.180726	0.179138	0.136132	0.100078	0.0951728	0.0581673
a31	0.0821944	0.147152	0.163532	0.162687	0.138845	0.0931563	0.119746	0.0926866
a20	0.074035	0.173128	0.199766	0.198868	0.14326	0.081991	0.0787767	0.0501753
a8	0.0691804	0.156331	0.183244	0.183581	0.155512	0.0729548	0.101298	0.0778973
a31	0.0518968	0.138473	0.176823	0.178835	0.147215	0.0511555	0.103601	0.152
a24	0.0444685	0.161689	0.204571	0.207797	0.157125	0.071281	0.0885701	0.0644993
a31	0.0505241	0.163938	0.210953	0.209034	0.149881	0.0598118	0.0915349	0.0643231
a10	0.0261124	0.156324	0.228941	0.238885	0.160322	0.046393	0.0778613	0.0651604
a31	0.0217222	0.135066	0.226824	0.233421	0.162944	0.0340928	0.088995	0.0969352
a11	0.0128817	0.119278	0.249126	0.275293	0.156708	0.0219659	0.0725364	0.0922107
a46	0.015706	0.1022	0.237019	0.254289	0.163621	0.024012	0.0740846	0.129068
a6	0.0178003	0.087934	0.220406	0.241418	0.150983	0.0267109	0.0803022	0.174446
a31	0.0174213	0.0826057	0.200551	0.216753	0.144228	0.0244406	0.0845742	0.229426
a26	0.0115452	0.0895914	0.219589	0.259698	0.145995	0.0202948	0.0886202	0.164666
a31	0.0122826	0.0965959	0.254102	0.280292	0.159944	0.0228381	0.0666256	0.10732
a8	0.0118457	0.0830863	0.230702	0.298264	0.133231	0.0121624	0.0570805	0.173628
</S>	0.0243691	0.0761506	0.200353	0.232119	0.126243	0.0390652	0.092418	0.209282
