 	si	è	rotta	la	coppa	</S>
a31	0.163263	0.188141	0.108806	0.0748582	0.260242	0.204689
a20	0.0898727	0.187205	0.167673	0.0498848	0.319473	0.185892
a19	0.0494778	0.0694387	0.186196	0.0919145	0.372715	0.230258
a18	0.0795995	0.0911043	0.18648	0.122105	0.304348	0.216364
a27	0.0728075	0.0829752	0.176098	0.142723	0.292924	0.232471
a31	0.106892	0.111694	0.170345	0.165515	0.234071	0.211484
a39	0.0339658	0.0442731	0.0704629	0.0984722	0.430847	0.321979
a31	0.0786712	0.093471	0.0694474	0.0878752	0.384522	0.286013
a46	0.0180654	0.0264279	0.0424876	0.0531795	0.554934	0.304905
a31	0.035134	0.0590024	0.0428837	0.0476467	0.568547	0.246787
a20	0.0178672	0.030606	0.0548785	0.0485847	0.672817	0.175246
</S>	0.0226599	0.0431291	0.057652	0.0427882	0.707296	0.126475
