 	non	mi	aspetti	che	non	vengo	</S>
a8	0.120513	0.11021	0.069421	0.102508	0.141388	0.159164	0.296795
a31	0.13284	0.149746	0.171341	0.174341	0.170443	0.132938	0.0683517
a24	0.122308	0.104997	0.154655	0.164875	0.225125	0.160938	0.0671014
a31	0.102068	0.0806746	0.103268	0.113008	0.180785	0.202691	0.217506
a36	0.101381	0.0764559	0.098971	0.106469	0.183595	0.208305	0.224822
a31	0.112287	0.0835889	0.108534	0.114473	0.185764	0.200635	0.194718
a39	0.0919273	0.0635507	0.0712549	0.0748906	0.155585	0.212164	0.330628
a8	0.107481	0.0917529	0.12313	0.136469	0.179281	0.183519	0.178367
a31	0.0877831	0.0914952	0.120643	0.143111	0.17516	0.182444	0.199363
a29	0.180995	0.103209	0.0823464	0.0678231	0.125836	0.177607	0.262184
a31	0.0965716	0.116316	0.107222	0.125533	0.168339	0.177666	0.208352
a17	0.19403	0.10224	0.0481922	0.0359027	0.0685993	0.12522	0.425815
</S>	0.0675728	0.0914014	0.0766077	0.117122	0.175636	0.164425	0.307236
