 	io	non	ho	cosa	da	mangiare	</S>
a31	0.0193473	0.120571	0.0869825	0.110336	0.162147	0.247565	0.253051
a37	0.252205	0.382562	0.13639	0.122577	0.0583193	0.0350655	0.0128809
a31	0.0864278	0.10029	0.077899	0.175958	0.216602	0.220144	0.122679
a18	0.100005	0.134561	0.0605096	0.162319	0.235353	0.220569	0.0866825
a31	0.0783358	0.0972564	0.0588323	0.147984	0.219265	0.25371	0.144616
a11	0.0766516	0.118959	0.0344123	0.100678	0.22151	0.299874	0.147915
a37	0.0719432	0.115636	0.0651523	0.162318	0.227574	0.230665	0.126712
a15	0.0384398	0.0957596	0.0576567	0.14457	0.225334	0.264757	0.173484
a39	0.0231444	0.0872451	0.0835984	0.173266	0.205603	0.223918	0.203225
a31	0.027405	0.102228	0.09819	0.170795	0.196893	0.209977	0.194513
a39	0.0383318	0.192543	0.0382394	0.0818815	0.178072	0.284202	0.18673
a20	0.0195308	0.0992932	0.0901821	0.180378	0.213474	0.221684	0.175458
a24	0.0139498	0.106723	0.0837165	0.157277	0.211927	0.237325	0.189082
a31	0.00972086	0.109436	0.0608527	0.120766	0.214751	0.280363	0.20411
a46	0.0119386	0.186113	0.0163148	0.028882	0.0843728	0.364838	0.307541
a31	0.0170142	0.066135	0.0532359	0.118636	0.208544	0.304704	0.231731
a3	0.0179118	0.27355	0.00931126	0.0136765	0.0357315	0.298991	0.350827
a31	0.0179941	0.116642	0.0376863	0.0771677	0.179068	0.333248	0.238193
</S>	0.0199258	0.244535	0.00888618	0.0138602	0.0341299	0.308062	0.370601
