 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.0646572	0.075389	0.0780787	0.0774739	0.0802455	0.0805222	0.0805045	0.080492	0.0803418	0.0798321	0.0771092	0.0749271	0.0704268
a24	0.0185216	0.0404073	0.0540606	0.0808633	0.115124	0.14937	0.152128	0.114616	0.139728	0.0710349	0.0453712	0.0145895	0.00418687
a28	0.0817515	0.0945294	0.09573	0.0804174	0.0929781	0.0956336	0.0807095	0.0739937	0.0833053	0.0897093	0.0686626	0.0457084	0.016871
a39	0.0832545	0.0955148	0.0965354	0.0766678	0.0920531	0.0954179	0.0767237	0.0694139	0.0802585	0.0923799	0.0720418	0.0499998	0.019739
a17	0.0789749	0.0845924	0.0849131	0.0742166	0.0825773	0.0841701	0.0741551	0.0701621	0.0771025	0.0853259	0.0798988	0.0723871	0.051524
a31	0.0789861	0.0832255	0.083495	0.073285	0.0812025	0.0826965	0.0732171	0.0694505	0.0761135	0.0841439	0.0801094	0.0751395	0.0589356
a20	0.0899162	0.0984521	0.0992281	0.080893	0.0950923	0.0979465	0.0809314	0.07261	0.0819316	0.087023	0.0600872	0.0394704	0.0164182
a31	0.081584	0.0889589	0.0895555	0.0775298	0.0871356	0.0890022	0.0776666	0.0728138	0.0803625	0.087855	0.0763612	0.0607579	0.0304171
a17	0.0910733	0.0999067	0.100769	0.0837667	0.0972096	0.0998185	0.0839021	0.0748952	0.0835127	0.082872	0.0534092	0.0343798	0.0144853
a8	0.0796104	0.0864381	0.0867987	0.0757007	0.0844564	0.0861096	0.0757129	0.0714612	0.0785347	0.0862925	0.0781128	0.0670082	0.0437637
a31	0.0756606	0.0807023	0.0809275	0.075262	0.0799311	0.0807504	0.075343	0.0730319	0.077077	0.0812645	0.0780949	0.073878	0.0680769
a8	0.0872995	0.0960894	0.0971105	0.0874126	0.0958851	0.0973867	0.0879922	0.0810252	0.0865099	0.0796714	0.0524514	0.034974	0.0161921
a24	0.0736183	0.0832227	0.0836259	0.07562	0.0823593	0.0835795	0.0758026	0.0726095	0.0781232	0.0838887	0.0777115	0.0694195	0.0604192
a31	0.0800664	0.085965	0.0864865	0.0768669	0.084676	0.0861346	0.0771312	0.0732261	0.0795731	0.0854949	0.0771086	0.0657511	0.0415195
a20	0.0899198	0.098029	0.0989238	0.0824378	0.0955307	0.0980059	0.0828461	0.0748285	0.0836814	0.0834384	0.0558647	0.0378026	0.0186914
a31	0.0813042	0.0890485	0.0896165	0.0815135	0.0883841	0.0896273	0.0818687	0.0779295	0.0833794	0.0852225	0.0706119	0.0530873	0.0284066
a41	0.0882794	0.0981614	0.0994445	0.0877329	0.0979403	0.0996947	0.088645	0.0804277	0.0868395	0.077111	0.0479247	0.0321014	0.0156975
a31	0.0808247	0.0901495	0.0907852	0.0819005	0.0894889	0.0908541	0.0823676	0.0780674	0.0838934	0.0855936	0.0689687	0.0503061	0.0268005
a13	0.0858073	0.0979965	0.0997414	0.0899294	0.0992715	0.100788	0.0914381	0.0830708	0.0883727	0.0743473	0.0446235	0.029908	0.0147056
a37	0.0759456	0.0872712	0.0879957	0.07997	0.0871635	0.0884224	0.0808009	0.0772437	0.0825411	0.085843	0.0735504	0.0576033	0.0356493
a8	0.0765972	0.0858144	0.0867938	0.0780754	0.0858486	0.0871919	0.0792809	0.0757011	0.0812719	0.0857272	0.0759295	0.0628045	0.0389637
