 	qui	dentro	deve	mettere	un	tappeto	</S>
a20	0.106351	0.032105	0.219382	0.106355	0.227577	0.151237	0.156993
a31	0.28185	0.14733	0.356177	0.0849455	0.0942173	0.0269268	0.00855247
a4	0.362662	0.129636	0.396576	0.0362209	0.0597255	0.0100906	0.00508965
a46	0.219934	0.117819	0.22624	0.0804988	0.203231	0.107954	0.0443231
a31	0.206543	0.112641	0.220869	0.107112	0.194722	0.122119	0.0359947
a28	0.374926	0.128655	0.391473	0.0346419	0.0564062	0.00925777	0.00464022
a27	0.231442	0.112716	0.23426	0.0718648	0.196342	0.0986744	0.0547008
a31	0.177949	0.0947497	0.190228	0.0939943	0.200897	0.152708	0.0894747
a49	0.360273	0.130642	0.345285	0.045537	0.0915958	0.0188683	0.00779917
a23	0.218595	0.0923961	0.230395	0.0695116	0.202535	0.112994	0.0735734
a31	0.155008	0.060048	0.178131	0.088712	0.202022	0.173182	0.142897
a29	0.333524	0.108306	0.306849	0.0463794	0.124049	0.0438286	0.0370638
a17	0.214726	0.0743816	0.240358	0.0642884	0.204259	0.115944	0.0860433
a20	0.132278	0.0366594	0.168047	0.0689469	0.21132	0.183533	0.199216
a17	0.119769	0.0320272	0.161636	0.0649772	0.216518	0.189149	0.215924
a31	0.118048	0.0331826	0.151578	0.065791	0.208747	0.188182	0.234471
a20	0.179772	0.0458955	0.231383	0.0439772	0.193404	0.118306	0.187262
a31	0.114399	0.0206045	0.192593	0.0574458	0.239214	0.191121	0.184623
a3	0.21384	0.0282189	0.341775	0.0273665	0.181044	0.0690387	0.138717
a31	0.0854061	0.0188826	0.201187	0.0375652	0.272992	0.178176	0.205791
a8	0.2866	0.0267063	0.436308	0.0141993	0.115337	0.0321451	0.0887039
</S>	0.095048	0.0495524	0.174038	0.0762505	0.247348	0.179389	0.178373
