 	se	si	era	vestito	la	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.074913	0.0831627	0.0852059	0.0862469	0.0863324	0.0863945	0.0863712	0.0861613	0.0856718	0.0828659	0.0807725	0.0759021
a20	0.0210583	0.05294	0.0698523	0.174325	0.152529	0.153599	0.113292	0.130031	0.0681931	0.0439764	0.0154694	0.004734
a37	0.0874615	0.09854	0.0991376	0.103197	0.0971864	0.0791257	0.072137	0.0841183	0.0988442	0.0842882	0.0662867	0.0296768
a24	0.0884132	0.0992159	0.0998459	0.103897	0.0979554	0.0799849	0.0727637	0.0844439	0.0986129	0.0822266	0.0639496	0.0286911
a31	0.0909344	0.101598	0.102074	0.106862	0.0987936	0.0764538	0.0684849	0.0820863	0.100665	0.0815811	0.0624686	0.0279974
a39	0.1024	0.111569	0.111845	0.116607	0.107887	0.0834114	0.0722664	0.0849174	0.0943073	0.0592003	0.0391551	0.0164347
a31	0.086308	0.0929522	0.0932362	0.0949638	0.0923635	0.0831526	0.0789164	0.0859601	0.0923147	0.0835322	0.0715001	0.0448002
a24	0.100756	0.11036	0.111141	0.114147	0.110176	0.0966052	0.0858018	0.0929466	0.082436	0.0486892	0.0326938	0.0142461
a31	0.0924999	0.106573	0.107717	0.111676	0.107272	0.0929001	0.084302	0.0938298	0.089968	0.0588629	0.0386575	0.0157417
a28	0.101444	0.110082	0.110807	0.113934	0.109005	0.0927102	0.0821294	0.0911297	0.0856388	0.0515084	0.0352284	0.0163844
a24	0.0939181	0.103295	0.103884	0.106593	0.10275	0.0897646	0.0826749	0.0914678	0.0922906	0.0658224	0.0459548	0.0215857
a8	0.0934511	0.104058	0.104854	0.108075	0.103637	0.0890347	0.0813826	0.0910928	0.0928652	0.0652556	0.0453858	0.0209078
a31	0.0804164	0.0902301	0.0906154	0.0924486	0.0897844	0.0805105	0.0764909	0.0835579	0.0907904	0.0840895	0.0752648	0.0658011
a46	0.0972196	0.106655	0.107744	0.110115	0.107534	0.0982329	0.0899118	0.0950951	0.0825782	0.0502489	0.0357266	0.0189375
a8	0.0804373	0.0922137	0.0927423	0.0945939	0.0923013	0.0842487	0.0804816	0.0865538	0.0917631	0.0821142	0.0692891	0.053261
a28	0.0808786	0.08674	0.0870127	0.0879902	0.0866898	0.0818306	0.0795474	0.0835483	0.0872111	0.083879	0.0791787	0.0754937
a31	0.0834491	0.0891126	0.0895218	0.0914685	0.0881625	0.0768738	0.072306	0.0808719	0.0905967	0.0859336	0.0815486	0.0701549
a39	0.095159	0.104571	0.105555	0.109	0.103366	0.0855384	0.0771296	0.0882399	0.0939057	0.0652938	0.0470723	0.0251684
a33	0.0813277	0.0899014	0.0903501	0.0918074	0.0899642	0.0833008	0.0801795	0.0854714	0.0900146	0.0834952	0.0741723	0.0600155
a31	0.0780209	0.0874939	0.0879126	0.0892093	0.0877316	0.082385	0.0798978	0.0842058	0.0880498	0.0833801	0.0762799	0.0754332
a24	0.0927608	0.102119	0.1035	0.105579	0.10344	0.095477	0.0894212	0.0944123	0.0876246	0.0588299	0.0424496	0.0243859
a37	0.0905416	0.101813	0.102558	0.10586	0.100933	0.0851675	0.078099	0.0889772	0.0953967	0.0722048	0.0521585	0.0262905
a14	0.085868	0.0964146	0.0971859	0.100008	0.095659	0.0814685	0.0755507	0.0855983	0.0953019	0.0807829	0.0653327	0.0408294
a20	0.0820415	0.0923322	0.0932171	0.0958328	0.0920236	0.079383	0.074242	0.0835586	0.0935573	0.0845938	0.0742657	0.0549523
a28	0.0807849	0.0919429	0.0929547	0.0956563	0.0918491	0.0792292	0.0741231	0.0834215	0.0935989	0.0850451	0.0749801	0.0564143
a5	0.0795707	0.0928656	0.09407	0.0979592	0.0920259	0.0743762	0.0681586	0.0801758	0.0961158	0.0868308	0.0774868	0.0603646
a17	0.0766842	0.0932857	0.0950798	0.0999575	0.0928906	0.0729825	0.0663658	0.0794166	0.0980118	0.087482	0.0775049	0.0603385
a21	0.0750796	0.0916586	0.0930076	0.0967318	0.0917271	0.076342	0.0706711	0.0815517	0.0949854	0.0862183	0.0759949	0.0660318
a8	0.0710755	0.0890258	0.0904936	0.0932884	0.0907279	0.0821822	0.0784969	0.0851534	0.0916044	0.084163	0.0734498	0.0703393
a31	0.0669989	0.0902946	0.0918694	0.0951622	0.0924579	0.0837542	0.0799689	0.0865246	0.0925015	0.0823596	0.0680566	0.0700516
a20	0.06058	0.0887444	0.0958968	0.101512	0.0994819	0.0917405	0.0877455	0.0935246	0.0965196	0.0789908	0.0627109	0.0425532
a3	0.0652955	0.0914248	0.0943406	0.0987479	0.0954025	0.084766	0.0802543	0.0882678	0.0956535	0.0832354	0.0669068	0.055705
a20	0.05901	0.0906576	0.0952516	0.102161	0.0962092	0.0791104	0.0730365	0.0849432	0.0998021	0.0866884	0.071176	0.0619542
a10	0.0570189	0.0902848	0.0951126	0.101443	0.0972725	0.0846054	0.0795281	0.0888609	0.0984418	0.0845235	0.0666503	0.0562579
a31	0.0463123	0.088002	0.0961126	0.106454	0.0998799	0.0819305	0.0756904	0.0881487	0.103858	0.0872038	0.067457	0.0589516
a20	0.0378294	0.0862753	0.102223	0.116426	0.113072	0.102218	0.0963017	0.103998	0.10308	0.0672898	0.0427002	0.0285868
a7	0.0388233	0.0906798	0.0990035	0.109818	0.106819	0.100401	0.0970462	0.101195	0.100888	0.0731107	0.0446876	0.0375275
a11	0.0255696	0.0802002	0.0953682	0.115784	0.108739	0.093478	0.0880817	0.0991594	0.110823	0.0819864	0.0508263	0.049984
a18	0.0258326	0.0816176	0.0963778	0.117057	0.109127	0.0918725	0.0859598	0.097998	0.111552	0.0818978	0.0504958	0.0502115
a27	0.0259731	0.0817405	0.096256	0.115174	0.109109	0.0957727	0.0906942	0.100255	0.109009	0.0798601	0.0489653	0.0471903
a31	0.021724	0.0791876	0.0944921	0.117264	0.111275	0.101507	0.097623	0.104397	0.108468	0.0745627	0.0424984	0.0470018
a39	0.0127469	0.0567575	0.0876949	0.124493	0.121702	0.115776	0.112934	0.118014	0.117326	0.0694734	0.0358721	0.0272105
a31	0.017928	0.0798137	0.0962392	0.124426	0.118599	0.113944	0.110934	0.110795	0.103297	0.0590691	0.031107	0.0338477
a24	0.00919585	0.0554852	0.0915193	0.140606	0.137627	0.135286	0.130478	0.129054	0.106095	0.0372517	0.0147483	0.012653
a28	0.027531	0.0949922	0.1092	0.130081	0.124144	0.112755	0.105602	0.111445	0.100201	0.0481782	0.0211067	0.0147652
a21	0.0139657	0.0752286	0.0973154	0.134301	0.125776	0.115508	0.11059	0.115049	0.110586	0.055719	0.0247106	0.0212494
a31	0.014561	0.0754002	0.0949303	0.131099	0.123238	0.116854	0.113015	0.113025	0.104539	0.0551063	0.0279736	0.0302573
a39	0.00718683	0.0484442	0.085538	0.142952	0.139591	0.139305	0.135927	0.132929	0.108905	0.0352359	0.0127141	0.0112732
</S>	0.0138364	0.072956	0.0933045	0.138617	0.130222	0.13124	0.127713	0.115226	0.0915091	0.0418255	0.0223563	0.0211947
