 	il	lupo	non	cammina	mai	nemmeno	con	la	volpe	</S>
a39	0.10034	0.109384	0.110752	0.110857	0.111075	0.106267	0.101718	0.104675	0.0697102	0.0752199
a3	0.0392598	0.0408899	0.0677346	0.0628951	0.177698	0.0933731	0.250057	0.185648	0.0707342	0.0117097
a39	0.0776993	0.0807789	0.113988	0.103738	0.125071	0.117257	0.13439	0.131674	0.0901736	0.0252298
a3	0.107876	0.104639	0.103796	0.0932354	0.092841	0.0991617	0.108293	0.113322	0.107697	0.0691378
a10	0.117557	0.110773	0.108528	0.0935345	0.0930462	0.0982612	0.109977	0.117133	0.100299	0.0508908
a38	0.130534	0.116508	0.107253	0.087782	0.0859427	0.0917681	0.107771	0.120702	0.103468	0.0482704
a37	0.111075	0.105743	0.100168	0.0887614	0.0867155	0.0949859	0.105403	0.111456	0.110883	0.0848101
a24	0.116404	0.110718	0.106736	0.0942848	0.0928597	0.0983906	0.107951	0.113237	0.0998761	0.0595421
a31	0.121328	0.113564	0.108313	0.0924621	0.0909699	0.0976676	0.111334	0.118158	0.0992317	0.0469712
a3	0.143179	0.133716	0.124578	0.104924	0.102067	0.0948416	0.101002	0.102073	0.0608876	0.0327315
a20	0.117948	0.113699	0.109841	0.0983164	0.0967444	0.100906	0.109309	0.112062	0.0910982	0.0500765
a31	0.115462	0.11041	0.105119	0.0933859	0.0913905	0.0979139	0.107384	0.112286	0.101259	0.0653894
a11	0.144727	0.138331	0.131491	0.112878	0.110267	0.0945637	0.0970977	0.0927589	0.0487532	0.029133
a7	0.114652	0.112787	0.110701	0.101754	0.100652	0.103115	0.109027	0.109905	0.0878091	0.0495983
a31	0.116622	0.109982	0.10289	0.0894752	0.0870826	0.0952448	0.10715	0.113804	0.10542	0.0723295
a24	0.14563	0.139357	0.132034	0.112748	0.109967	0.0940604	0.0969273	0.0923999	0.0476482	0.0292281
a46	0.121991	0.122744	0.129146	0.115966	0.118072	0.104193	0.109895	0.0999496	0.0538289	0.0242142
a39	0.106191	0.107973	0.104927	0.0965148	0.0948386	0.100209	0.104816	0.108254	0.0998838	0.0763929
a31	0.103329	0.103086	0.101376	0.0965687	0.0955865	0.0992393	0.102769	0.104609	0.102113	0.0913242
a14	0.139212	0.136994	0.131964	0.116245	0.113928	0.0973398	0.0968891	0.0926197	0.0446049	0.0302025
a38	0.116577	0.115659	0.113244	0.103524	0.10222	0.103611	0.109168	0.109485	0.0811607	0.0453509
a31	0.10434	0.104737	0.101147	0.0927171	0.0909312	0.0975057	0.103654	0.107508	0.105613	0.0918476
a37	0.136636	0.137645	0.135668	0.122812	0.12136	0.0980192	0.0938218	0.087656	0.0383545	0.0280272
a20	0.11955	0.118721	0.114599	0.102825	0.100906	0.10271	0.10894	0.110195	0.0783187	0.0432346
a39	0.111333	0.112023	0.108738	0.0992741	0.0975826	0.10185	0.107656	0.11042	0.092315	0.0588082
a20	0.104323	0.105332	0.101902	0.0932884	0.0915278	0.098083	0.104582	0.108415	0.105405	0.0871417
a35	0.107989	0.108088	0.10463	0.0956558	0.0939518	0.0996098	0.106179	0.109667	0.100624	0.0736045
a20	0.107895	0.106838	0.101313	0.0898548	0.0875813	0.0959926	0.10563	0.111437	0.108696	0.0847611
a31	0.106961	0.108132	0.104983	0.0963	0.0946424	0.100137	0.106298	0.10951	0.10035	0.0726861
a24	0.122189	0.127009	0.122265	0.108921	0.106518	0.102624	0.105234	0.105009	0.0620019	0.0382276
a31	0.113129	0.115741	0.115739	0.10469	0.104132	0.105402	0.112404	0.111529	0.0794463	0.0377868
a8	0.132684	0.14863	0.147297	0.131443	0.129218	0.0945509	0.0853496	0.078241	0.028032	0.0245546
a31	0.0841353	0.114539	0.123584	0.118972	0.119756	0.116099	0.101488	0.101483	0.0773012	0.0426432
a41	0.137215	0.186325	0.196456	0.167781	0.166972	0.0593587	0.035099	0.037956	0.00529201	0.00754363
a8	0.0923006	0.124147	0.132745	0.126989	0.127466	0.116823	0.103361	0.0992578	0.0518972	0.0250126
a31	0.0698023	0.112716	0.128216	0.123282	0.124984	0.120037	0.0985425	0.0990663	0.0772508	0.0461026
</S>	0.100669	0.180295	0.198938	0.17801	0.178238	0.0703117	0.0394019	0.042051	0.00514142	0.00694458
