 	voglio	che	Maria	venga	domani	</S>
a20	0.149638	0.105444	0.113558	0.166788	0.22689	0.237683
a21	0.165356	0.250909	0.317902	0.177529	0.0704697	0.0178345
a31	0.101873	0.112378	0.21818	0.241581	0.213111	0.112877
a37	0.120433	0.069128	0.302154	0.334448	0.141312	0.032524
a31	0.0794436	0.0550084	0.196316	0.296011	0.267094	0.106127
a35	0.0793837	0.0333344	0.181897	0.340002	0.283043	0.0823394
a31	0.0725561	0.0540036	0.17937	0.271457	0.271565	0.151049
a20	0.0765822	0.0243563	0.148387	0.304821	0.317396	0.128457
a31	0.0957871	0.0502113	0.220935	0.30332	0.236546	0.0932005
a18	0.0839892	0.0208594	0.13082	0.277826	0.332101	0.154405
a31	0.128126	0.0649907	0.22503	0.256703	0.216863	0.108287
a3	0.166528	0.0214142	0.0990684	0.159171	0.326946	0.226873
a13	0.240475	0.043534	0.127113	0.138804	0.243882	0.206192
a37	0.144463	0.0789161	0.147041	0.173109	0.251327	0.205144
a46	0.12586	0.0711192	0.129703	0.182371	0.273738	0.217209
a31	0.0829571	0.086485	0.132858	0.166085	0.25979	0.271825
a18	0.161097	0.0132572	0.0278033	0.0582495	0.275849	0.463744
a46	0.13858	0.0799713	0.122555	0.157263	0.264375	0.237255
</S>	0.105524	0.0786937	0.112143	0.145246	0.262355	0.296037
