 	vado	cercando	un	forno	che	fa	rustici	</S>
a29	0.142037	0.0617952	0.157342	0.155322	0.126954	0.107925	0.126548	0.122076
a31	0.190932	0.0966789	0.101169	0.215063	0.239706	0.115381	0.038845	0.00222434
a8	0.198121	0.134241	0.161666	0.20215	0.171807	0.107253	0.0227038	0.00205737
a31	0.163692	0.105233	0.154879	0.157549	0.141462	0.132229	0.111323	0.0336325
a23	0.206455	0.135303	0.166048	0.208953	0.166877	0.0965673	0.017839	0.00195686
a31	0.170184	0.096103	0.159164	0.163608	0.139716	0.130347	0.103636	0.037242
a10	0.207658	0.126146	0.183068	0.205644	0.148821	0.101513	0.0231901	0.00396109
a31	0.200065	0.0931241	0.179909	0.194397	0.13605	0.11858	0.0563934	0.0214819
a24	0.22464	0.100508	0.197732	0.21711	0.123587	0.0939987	0.0275153	0.0149089
a31	0.201271	0.103528	0.185959	0.193832	0.143789	0.111568	0.0471041	0.0129483
a18	0.229749	0.0901559	0.199413	0.220711	0.117454	0.0883692	0.0303138	0.0238346
a31	0.21144	0.0731229	0.185205	0.185915	0.136209	0.109484	0.07358	0.0250434
a8	0.227455	0.0875376	0.201671	0.218378	0.121075	0.0887946	0.0316607	0.0234272
a31	0.231647	0.0496839	0.176813	0.162884	0.113983	0.09005	0.109467	0.0654717
a29	0.220603	0.0819692	0.201447	0.20984	0.127882	0.0913605	0.0394696	0.0274286
a31	0.233522	0.0548503	0.203113	0.201821	0.127118	0.0903408	0.0582852	0.0309506
a21	0.227849	0.0784305	0.211332	0.215341	0.124689	0.0816842	0.0348811	0.025794
a31	0.268158	0.0397146	0.178004	0.15507	0.102315	0.0770324	0.106549	0.0731568
a38	0.231962	0.0640851	0.21213	0.21123	0.124316	0.0798882	0.0433569	0.0330321
a10	0.308922	0.0290268	0.165798	0.140293	0.0881547	0.0658835	0.104357	0.0975654
a39	0.191289	0.0395237	0.173472	0.172253	0.122168	0.0920863	0.112631	0.0965774
a8	0.216385	0.0243819	0.161287	0.150153	0.0992071	0.0720566	0.128417	0.148111
a31	0.21792	0.0329096	0.153254	0.136222	0.0953503	0.0739852	0.130372	0.159986
a20	0.197582	0.0580158	0.194592	0.194674	0.127031	0.0908205	0.0768312	0.0604534
a31	0.239208	0.0286726	0.17259	0.156262	0.100182	0.0717907	0.118878	0.112417
a20	0.251119	0.0405685	0.230571	0.223903	0.107894	0.0596319	0.0436774	0.0426354
a3	0.317593	0.0256355	0.172275	0.147008	0.0876906	0.0601617	0.100564	0.0890724
a41	0.261624	0.0173901	0.166584	0.152609	0.0846037	0.0546728	0.113586	0.148931
a37	0.266916	0.0177091	0.168467	0.15309	0.0842933	0.0550264	0.11183	0.142668
a31	0.270778	0.0176772	0.173357	0.157875	0.0840906	0.0537995	0.10778	0.134644
a8	0.257163	0.0215887	0.246857	0.241099	0.082211	0.0370681	0.049182	0.0648314
a31	0.403732	0.0248989	0.108802	0.103207	0.0770853	0.0613984	0.0952771	0.1256
a23	0.332704	0.0206083	0.251049	0.242095	0.0517332	0.0194119	0.0274018	0.0549965
a31	0.377156	0.025319	0.10814	0.114731	0.0834429	0.0630016	0.0988579	0.129352
a8	0.37112	0.0231208	0.242707	0.238654	0.0411524	0.0151294	0.0199394	0.0481767
a31	0.363198	0.0267216	0.113559	0.124449	0.0879732	0.0650582	0.0987239	0.120317
a24	0.385972	0.0270871	0.242878	0.2431	0.033645	0.0123533	0.0144524	0.040512
a31	0.510853	0.0211379	0.145974	0.152132	0.0591351	0.0301901	0.0359582	0.0446201
a24	0.40338	0.0303614	0.243124	0.252739	0.0254435	0.00924391	0.00855513	0.0271525
a46	0.513051	0.0237951	0.150729	0.157024	0.0574345	0.0277882	0.0311289	0.0390494
a24	0.347358	0.0351433	0.128065	0.150673	0.092414	0.0627722	0.0877658	0.0958087
a18	0.475349	0.0281743	0.144969	0.152944	0.0595815	0.0314182	0.0443784	0.0631862
a21	0.415176	0.0309691	0.122426	0.142261	0.0670939	0.0419109	0.0673408	0.112822
a28	0.3803	0.0272156	0.10516	0.120788	0.0675878	0.0461963	0.0900011	0.162751
a20	0.339178	0.0214466	0.128991	0.138393	0.0569906	0.0342744	0.0805455	0.200181
a31	0.35974	0.0199802	0.128319	0.140909	0.0575902	0.0342881	0.0769046	0.182269
a46	0.286515	0.0222384	0.262524	0.272041	0.0344421	0.0131584	0.0242779	0.0848035
</S>	0.367287	0.0267854	0.107467	0.121636	0.0798213	0.0564224	0.0998662	0.140714
