 	se	vuoi	restare	sempre	magro	non	magniare	la	sera	</S>
a31	0.113211	0.126091	0.122008	0.0914979	0.038119	0.0980093	0.0902412	0.0939062	0.113694	0.113223
a24	0.0808994	0.161422	0.320911	0.289894	0.0739607	0.0264704	0.0139159	0.00976707	0.0161419	0.00661732
a16	0.175011	0.217012	0.198447	0.140156	0.0557953	0.0574762	0.0416979	0.0209022	0.0541494	0.0393528
a28	0.164406	0.192195	0.180217	0.129669	0.0556893	0.0727941	0.0503858	0.0258609	0.0720893	0.0566935
a31	0.147406	0.168444	0.157398	0.105091	0.0509948	0.0843302	0.0728322	0.0392994	0.0861054	0.0880992
a37	0.18751	0.225618	0.193373	0.106383	0.0336131	0.0459943	0.0578665	0.0267784	0.0585426	0.0643208
a24	0.17412	0.202668	0.185747	0.122113	0.0422144	0.0650856	0.0515181	0.026382	0.0705386	0.0596133
a46	0.16428	0.187114	0.174454	0.123812	0.0494871	0.0710136	0.0540933	0.0302152	0.0793084	0.0662224
a31	0.123788	0.131618	0.123122	0.0825422	0.0334998	0.0984551	0.104364	0.081709	0.105793	0.115109
a10	0.175241	0.19346	0.173339	0.113124	0.0405024	0.0544928	0.0579596	0.0375214	0.076403	0.0779567
a11	0.161928	0.182887	0.166888	0.102995	0.034028	0.0697359	0.0648579	0.0393689	0.0873821	0.0899284
a31	0.132151	0.142807	0.135557	0.0961594	0.0420192	0.0955968	0.0854105	0.0592163	0.104065	0.107017
a0	0.176379	0.195113	0.173954	0.110349	0.0355185	0.0526233	0.0583438	0.0391546	0.0776347	0.0809314
a31	0.13922	0.149288	0.137071	0.0858676	0.0275545	0.092402	0.0817024	0.0599745	0.113895	0.113026
a39	0.176135	0.192749	0.172383	0.110717	0.0315904	0.0531495	0.0564789	0.041773	0.0822356	0.0827878
a29	0.143887	0.15883	0.138072	0.0694772	0.0185127	0.0859175	0.0826448	0.0615533	0.120926	0.120179
a41	0.129326	0.144313	0.134753	0.0836989	0.0271292	0.0926066	0.0910882	0.0691471	0.110159	0.117778
a35	0.129146	0.149017	0.137163	0.0769431	0.0218778	0.0907811	0.0977521	0.07109	0.10669	0.119541
a20	0.11884	0.131998	0.121891	0.0717714	0.0223152	0.0980252	0.111437	0.0929954	0.110402	0.120326
a31	0.118127	0.130814	0.123151	0.0793883	0.0277971	0.0983014	0.106853	0.0878098	0.109777	0.117982
a37	0.153919	0.177828	0.163024	0.0976489	0.0256082	0.0647152	0.0681821	0.0486473	0.0971293	0.103298
a2	0.139863	0.160613	0.143259	0.0730286	0.0164828	0.0853905	0.0852595	0.0613308	0.115974	0.118799
a20	0.170364	0.20972	0.178835	0.0772141	0.00994202	0.0510964	0.0618047	0.0470043	0.0964296	0.0975892
a0	0.14159	0.18467	0.141585	0.0430897	0.00847824	0.0692262	0.0869286	0.0621967	0.131377	0.130858
a31	0.113058	0.158648	0.110705	0.027181	0.00698946	0.0706594	0.133012	0.10067	0.132687	0.146391
a16	0.15353	0.247502	0.19214	0.0507611	0.004403	0.0382206	0.0648305	0.0474226	0.0977275	0.103463
a31	0.125219	0.206803	0.128033	0.0259604	0.00651076	0.0544902	0.0987797	0.0648788	0.144019	0.145306
a20	0.142025	0.298985	0.204148	0.0386124	0.00270332	0.0248239	0.0608356	0.0435482	0.0883586	0.095961
</S>	0.122015	0.269738	0.14518	0.0248994	0.0052459	0.0331285	0.0804372	0.0534656	0.131638	0.134253
