 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
a31	0.0849728	0.0913373	0.0919485	0.0965239	0.0936806	0.0955414	0.0953308	0.0918045	0.0879814	0.0879756	0.0829032
a28	0.0223691	0.0868433	0.0928553	0.184831	0.200515	0.199021	0.115094	0.0763981	0.0179706	0.00285541	0.0012471
a37	0.114519	0.110999	0.103224	0.125212	0.0877128	0.0861601	0.0596117	0.100962	0.103035	0.0769043	0.031659
a31	0.119496	0.110825	0.10099	0.130127	0.0827374	0.081052	0.0531662	0.096237	0.104599	0.0834944	0.0372761
a17	0.151509	0.12835	0.111741	0.165616	0.087764	0.0856332	0.0439123	0.0779371	0.0742117	0.0543417	0.0189843
a31	0.116567	0.104406	0.0941044	0.121969	0.0776284	0.0762002	0.0518379	0.0938122	0.106678	0.0973265	0.0594705
a28	0.141181	0.132051	0.120306	0.152906	0.100871	0.0988144	0.0522784	0.0802467	0.0596302	0.0443851	0.0173298
a17	0.126049	0.114715	0.103825	0.134145	0.0858184	0.0842664	0.054485	0.0955765	0.0956811	0.0726131	0.0328256
a20	0.109138	0.100481	0.0921053	0.113237	0.078642	0.077492	0.0548881	0.0930905	0.103877	0.100652	0.0763974
a31	0.106809	0.101135	0.0953529	0.110839	0.0834252	0.0823556	0.0602292	0.0948107	0.101427	0.0952224	0.0683943
a37	0.141201	0.123273	0.110497	0.150588	0.0886286	0.0867875	0.0500746	0.0858173	0.0767002	0.0593695	0.0270639
a31	0.119662	0.110894	0.101823	0.126224	0.086419	0.0851708	0.0578022	0.0965263	0.0967416	0.0777265	0.0410102
a18	0.139515	0.127402	0.116293	0.149256	0.0967097	0.0950362	0.0550035	0.0846474	0.0631904	0.0495307	0.0234165
a8	0.113428	0.108972	0.0996767	0.119641	0.0897762	0.0891288	0.0641841	0.0968438	0.0949402	0.0779556	0.0454533
a31	0.100867	0.0988557	0.0886355	0.106603	0.0836259	0.0835047	0.0637796	0.0909888	0.0978403	0.0977126	0.0875867
a24	0.127403	0.122705	0.114912	0.137771	0.100803	0.0999278	0.0647792	0.0892727	0.0647265	0.0503954	0.0273039
a37	0.125922	0.118168	0.106114	0.137823	0.0905731	0.0898741	0.0596449	0.0969333	0.0839216	0.0611241	0.0299023
a31	0.115049	0.109251	0.0983086	0.125321	0.0862475	0.08606	0.0598349	0.0953888	0.0955849	0.0806136	0.0483397
a30	0.127154	0.125224	0.116398	0.144641	0.103229	0.103417	0.0659718	0.084536	0.0559975	0.0468461	0.026586
a24	0.113338	0.114085	0.102317	0.128377	0.096165	0.0976195	0.0708503	0.0962757	0.0819664	0.0628696	0.0361364
a46	0.119934	0.11345	0.0980486	0.138756	0.0848895	0.0858714	0.0578647	0.0953746	0.0922969	0.07349	0.0400248
a31	0.0999268	0.107632	0.0817369	0.120019	0.0886544	0.0918574	0.0672841	0.0860239	0.0929047	0.0910762	0.0728852
a8	0.110653	0.120922	0.112417	0.14427	0.108706	0.113442	0.0797839	0.0826547	0.0523281	0.0460945	0.0287282
a31	0.0938598	0.120399	0.0697756	0.138128	0.0962494	0.106156	0.0734214	0.0759951	0.0829353	0.0812732	0.0618071
a3	0.0988874	0.121535	0.109132	0.159081	0.1148	0.126825	0.0899493	0.0729885	0.040649	0.0405522	0.0256004
a39	0.0922018	0.113016	0.0774895	0.157158	0.0902668	0.105492	0.07423	0.0882112	0.0847403	0.0735975	0.0435978
a31	0.0794293	0.10559	0.0648499	0.141277	0.0887838	0.107671	0.0822587	0.0831399	0.0902036	0.0890106	0.0677863
a28	0.0752783	0.1115	0.0913939	0.19628	0.10553	0.134009	0.0927422	0.0725587	0.0453849	0.0472424	0.0280799
a31	0.0737132	0.109448	0.0623774	0.188329	0.0873927	0.11815	0.0834811	0.0826664	0.0810771	0.072721	0.0406435
a17	0.0531585	0.101438	0.0737519	0.26025	0.102794	0.155959	0.103892	0.0552488	0.032164	0.0395975	0.0217459
</S>	0.0595796	0.123273	0.0433869	0.2157	0.0918491	0.144138	0.0916785	0.0641859	0.0666203	0.0626569	0.0369318
