 	non	sapeva	dove	a	stare	</S>
a20	0.160773	0.157844	0.183136	0.254781	0.183549	0.0599173
a31	0.0903918	0.0958198	0.127376	0.261108	0.353335	0.0719703
a37	0.0492949	0.046969	0.123061	0.404455	0.330084	0.0461358
a38	0.038063	0.0437746	0.14238	0.440531	0.291392	0.0438597
a31	0.0626178	0.0707126	0.178046	0.351837	0.275212	0.0615738
a41	0.0494195	0.0544121	0.188631	0.400948	0.253808	0.0527812
a10	0.0680899	0.0734218	0.201875	0.338838	0.251724	0.0660517
a20	0.0701009	0.0770136	0.197733	0.313121	0.25331	0.0887218
a9	0.0993143	0.101804	0.187167	0.275959	0.237505	0.0982509
</S>	0.116352	0.104023	0.170545	0.287559	0.22586	0.0956608
