 	voglio	che	Maria	che	venga	domani	</S>
a8	0.117376	0.137038	0.105485	0.1062	0.150101	0.189463	0.194336
a31	0.140866	0.169362	0.180717	0.181352	0.165312	0.116806	0.0455844
a8	0.160182	0.162231	0.205999	0.184498	0.1876	0.0791373	0.0203532
a31	0.0990366	0.0971807	0.136784	0.155114	0.203279	0.190223	0.118384
a24	0.148378	0.123501	0.162933	0.147076	0.225013	0.145084	0.048014
a31	0.122463	0.110309	0.150987	0.154862	0.230516	0.162666	0.0681957
a46	0.123543	0.0983469	0.123286	0.110559	0.245981	0.202114	0.0961702
a31	0.10072	0.105227	0.147112	0.159838	0.205063	0.177855	0.104186
a29	0.227557	0.170132	0.155201	0.0905941	0.136291	0.137286	0.0829387
a20	0.170392	0.158936	0.171767	0.128501	0.163116	0.132505	0.0747839
a0	0.122896	0.135697	0.15725	0.15067	0.173168	0.159175	0.101144
a31	0.099754	0.121509	0.145652	0.154268	0.16685	0.168046	0.143922
a23	0.243578	0.194773	0.144667	0.0774552	0.116427	0.130721	0.0923795
a31	0.0665514	0.111138	0.143025	0.174652	0.168868	0.180748	0.155018
a18	0.342134	0.247893	0.1109	0.0380803	0.0513052	0.108797	0.100891
a37	0.076672	0.129348	0.158294	0.18292	0.167089	0.169224	0.116453
a31	0.0924676	0.153406	0.155671	0.14807	0.162396	0.170322	0.117667
a20	0.271683	0.22828	0.0742541	0.028012	0.0556964	0.1619	0.180174
a31	0.0892109	0.143663	0.154352	0.167325	0.152891	0.169999	0.122559
</S>	0.24804	0.209049	0.0525686	0.022589	0.0454929	0.178004	0.244257
