 	vestito	il	mio	fratello	lo	avevo	portato	fuori	con	me	</S>
a14	0.0954068	0.0971672	0.0975488	0.0976334	0.097633	0.0976322	0.0978309	0.0822807	0.0796816	0.0774146	0.0797707
a6	0.0415648	0.0568891	0.076819	0.111195	0.136465	0.144985	0.199882	0.0307467	0.143165	0.0504652	0.00782236
a37	0.0999584	0.100273	0.0997823	0.100118	0.100826	0.0935161	0.0974398	0.0615115	0.0958322	0.0915715	0.0591722
a24	0.107188	0.106233	0.10426	0.104295	0.1055	0.0903601	0.0980815	0.0439319	0.09519	0.0923975	0.0525623
a28	0.115363	0.111408	0.10655	0.105698	0.107542	0.083333	0.0943426	0.0357502	0.0925254	0.094335	0.0531519
a31	0.112937	0.10791	0.102259	0.101284	0.103514	0.0780924	0.0887442	0.0354581	0.0924176	0.10301	0.0743736
a46	0.125964	0.121425	0.115749	0.114037	0.11492	0.0874154	0.102202	0.0265	0.079515	0.0747191	0.0375541
a8	0.102401	0.10165	0.100067	0.0997716	0.100447	0.0904979	0.0953825	0.0536124	0.090739	0.0902164	0.0752148
a31	0.0986076	0.0978732	0.0966145	0.0963888	0.0969482	0.0891159	0.0928749	0.0593297	0.0915022	0.0929862	0.0877588
a10	0.122808	0.121971	0.119773	0.118081	0.116479	0.101189	0.114357	0.0357227	0.0665226	0.0535753	0.0295204
a37	0.109889	0.107303	0.103949	0.103248	0.104408	0.0863277	0.0950297	0.0420618	0.091284	0.0917912	0.0647091
a10	0.110663	0.107198	0.102918	0.102107	0.10374	0.0824533	0.0919802	0.0390503	0.0912095	0.0965836	0.0720969
a17	0.11225	0.107256	0.101501	0.100491	0.102768	0.0770957	0.0877268	0.0362889	0.0908111	0.102482	0.0813294
a20	0.10725	0.103835	0.0996034	0.0988657	0.100629	0.0799086	0.0887669	0.0407469	0.0918832	0.100498	0.0880126
a31	0.102437	0.100951	0.0987687	0.0983711	0.0992982	0.0865251	0.0925168	0.0503019	0.0919522	0.09537	0.0835074
a20	0.11782	0.115838	0.112344	0.111213	0.111745	0.0916642	0.102917	0.0361246	0.0784441	0.0747217	0.0471678
a31	0.104202	0.103863	0.102489	0.102171	0.102657	0.0930342	0.0981789	0.0548806	0.0891487	0.0851957	0.0641801
a13	0.128091	0.128743	0.126302	0.123939	0.12147	0.102431	0.119575	0.0311047	0.0508273	0.0412393	0.0262778
a10	0.106798	0.108671	0.10811	0.107884	0.108071	0.101321	0.105619	0.0530761	0.0793656	0.0703423	0.0507422
a31	0.106098	0.106832	0.105254	0.104917	0.105725	0.0930393	0.0994763	0.046597	0.0831042	0.0826039	0.0663533
a17	0.127845	0.133445	0.132388	0.130084	0.127154	0.108573	0.126867	0.0275636	0.0366128	0.0296626	0.0198044
</S>	0.109348	0.120152	0.121807	0.121925	0.121735	0.118639	0.123133	0.0369808	0.0533468	0.0428622	0.0300725
