 	mio	fratello	non	mi	ha	mai	scritto	una	lettera	</S>
a23	0.13043	0.135985	0.138555	0.133793	0.0992813	0.0867356	0.0562017	0.0669703	0.0764217	0.0756269
a31	0.0584868	0.0968649	0.110949	0.112534	0.11323	0.114933	0.113596	0.109874	0.0989241	0.0706079
a28	0.0540569	0.109297	0.127345	0.114331	0.111619	0.114738	0.0941951	0.135598	0.100774	0.0380462
a31	0.0757815	0.0875471	0.0839687	0.0710844	0.0692368	0.074845	0.0848112	0.157694	0.16435	0.130681
a29	0.0754065	0.101545	0.101969	0.0863469	0.0828863	0.0841592	0.0723915	0.159142	0.152048	0.0841061
a39	0.0741832	0.0852733	0.0821744	0.0702536	0.0681556	0.0715286	0.0742649	0.16116	0.173936	0.13907
a31	0.0800005	0.0879155	0.0836235	0.07063	0.0685808	0.0761554	0.0934746	0.144526	0.15195	0.143144
a39	0.0781437	0.0938177	0.0924958	0.0783714	0.0734481	0.0687934	0.0478312	0.152047	0.175935	0.139117
a41	0.0858501	0.0938273	0.0910272	0.0787753	0.0761312	0.0834572	0.0936994	0.13384	0.138036	0.125356
a10	0.0812778	0.0889736	0.0859245	0.0739311	0.070813	0.0781273	0.092403	0.139909	0.148264	0.140376
a31	0.0740367	0.0817487	0.078196	0.067276	0.0630667	0.0682501	0.0827129	0.152713	0.17136	0.16064
a18	0.0891885	0.10236	0.0988951	0.0832815	0.070756	0.065206	0.0466023	0.132488	0.167675	0.143547
a31	0.0755047	0.0802703	0.0884939	0.0951763	0.0887233	0.0925444	0.0935235	0.127607	0.141023	0.117133
a3	0.152451	0.174222	0.183907	0.166699	0.103008	0.057649	0.010779	0.0374462	0.0633682	0.0504701
a18	0.0756171	0.0790648	0.0959283	0.137222	0.123196	0.10655	0.0561882	0.101937	0.135173	0.0891225
a31	0.0725055	0.0770599	0.0914983	0.135855	0.110929	0.0967067	0.0585903	0.106914	0.157705	0.092235
a23	0.15211	0.182573	0.245713	0.271424	0.0956901	0.0215844	0.00218158	0.00625481	0.0135491	0.00892015
</S>	0.099707	0.103049	0.11164	0.140733	0.127077	0.109403	0.0514103	0.0778859	0.104085	0.0750102
