 	io	voglio	che	Maria	venga	qui	</S>
a31	0.0195682	0.140807	0.121069	0.118459	0.177567	0.199952	0.222577
a39	0.185818	0.290882	0.223505	0.219989	0.0610191	0.0136498	0.00513716
a31	0.0833979	0.101802	0.115867	0.22212	0.241129	0.164848	0.0708362
a37	0.0888238	0.131655	0.116884	0.261636	0.252692	0.111774	0.0365362
a31	0.0700004	0.0930086	0.0898705	0.206115	0.252248	0.190787	0.0979713
a11	0.0623895	0.105476	0.070221	0.214639	0.278597	0.185108	0.0835688
a20	0.0655002	0.10748	0.107611	0.224329	0.243226	0.169235	0.0826182
a4	0.0371586	0.0941785	0.105489	0.204318	0.235456	0.197513	0.125887
a24	0.0260071	0.0898719	0.119159	0.184395	0.206557	0.198713	0.175297
a31	0.0300013	0.0930239	0.111767	0.185674	0.216107	0.201671	0.161756
a11	0.0162797	0.110774	0.0670667	0.174815	0.262698	0.221256	0.14711
a24	0.0190803	0.130444	0.162605	0.199884	0.205347	0.16372	0.11892
a31	0.0117658	0.132275	0.141462	0.18756	0.215201	0.176681	0.135056
a46	0.0148823	0.34959	0.0640294	0.08674	0.126325	0.157912	0.200521
a8	0.0391452	0.154996	0.172995	0.19067	0.184807	0.138334	0.119053
</S>	0.0268281	0.161726	0.163495	0.172506	0.179025	0.147824	0.148596
