 	se	vieni	ogni	sabato	ti	compro	il	pane	</S>
a31	0.0963809	0.099611	0.112694	0.0971684	0.064236	0.128296	0.133685	0.137436	0.130493
a29	0.0428289	0.153298	0.215023	0.194237	0.164586	0.120998	0.0712305	0.0299837	0.00781581
a31	0.115874	0.105032	0.096395	0.0747728	0.0851834	0.134421	0.165233	0.142266	0.0808234
a20	0.132838	0.123097	0.112986	0.0784501	0.074894	0.132798	0.172186	0.116372	0.0563795
a31	0.116586	0.103854	0.0957318	0.0735299	0.0791021	0.131024	0.176019	0.144811	0.079342
a28	0.132103	0.120643	0.11131	0.074416	0.0612014	0.119302	0.179017	0.131014	0.0709933
a3	0.127617	0.115355	0.106698	0.0794911	0.0838211	0.138569	0.164057	0.118536	0.0658552
a35	0.114108	0.101293	0.0941336	0.0720622	0.0762804	0.130885	0.164969	0.14868	0.0975891
a31	0.101604	0.0955094	0.0917414	0.0718807	0.08129	0.127265	0.148785	0.149815	0.132109
a20	0.152064	0.142427	0.134426	0.09096	0.0656334	0.127788	0.137182	0.0894757	0.0600445
a31	0.103205	0.106364	0.108368	0.0841887	0.0886786	0.139722	0.153018	0.130679	0.085777
a28	0.158441	0.158423	0.158112	0.0990312	0.0529302	0.114989	0.115672	0.0815169	0.0608846
a13	0.0875336	0.109686	0.130056	0.102302	0.0972079	0.151493	0.149984	0.10581	0.0659282
a41	0.0670501	0.0901725	0.116179	0.0936721	0.0888636	0.146799	0.152732	0.14026	0.104272
a28	0.0703428	0.0904343	0.114237	0.0888273	0.0729473	0.147884	0.156412	0.146853	0.112062
a31	0.0603551	0.0778854	0.104082	0.0713117	0.0494015	0.158202	0.176634	0.170725	0.131403
a20	0.107164	0.128355	0.168159	0.0827295	0.023029	0.12678	0.145329	0.119893	0.0985611
a31	0.04509	0.0712364	0.12219	0.0916612	0.0791481	0.177624	0.178414	0.142994	0.091643
a24	0.10376	0.154691	0.233135	0.0874547	0.0186598	0.0659066	0.0883294	0.122899	0.125164
a46	0.0561379	0.0905537	0.1636	0.112842	0.0771615	0.176637	0.147391	0.0985141	0.077163
</S>	0.030354	0.0410693	0.0795394	0.0572251	0.057952	0.198195	0.209297	0.193221	0.133147
