 	quella	famiglia	non	ha	da	mangiare	</S>
a20	0.0739368	0.160694	0.16288	0.142591	0.161322	0.164668	0.133908
a31	0.138014	0.203477	0.201084	0.20156	0.141236	0.0810516	0.0335774
a37	0.105307	0.223461	0.185713	0.18828	0.173694	0.0973932	0.0261512
a31	0.0786213	0.192827	0.136251	0.154032	0.181423	0.169469	0.0873759
a13	0.0927348	0.213605	0.170923	0.176992	0.182244	0.124974	0.0385278
a31	0.0685462	0.186848	0.12704	0.146776	0.181763	0.181013	0.108013
a43	0.0699126	0.203069	0.154912	0.160976	0.189028	0.160454	0.0616486
a31	0.0637419	0.157719	0.131028	0.149262	0.178395	0.18174	0.138115
a20	0.048389	0.198085	0.152762	0.147493	0.189745	0.180697	0.0828293
a31	0.0363643	0.171799	0.140205	0.151382	0.205713	0.198721	0.0958161
a11	0.0153021	0.152635	0.119968	0.102587	0.202848	0.258015	0.148645
a31	0.0116721	0.141067	0.136506	0.113329	0.229759	0.256267	0.1114
a30	0.00261127	0.108381	0.0765179	0.0428202	0.167976	0.403676	0.198018
a31	0.00245431	0.121118	0.0673353	0.03425	0.139391	0.451555	0.183896
a42	0.00221479	0.0966396	0.054456	0.0302122	0.128909	0.471183	0.216385
a20	0.00371881	0.109985	0.0635687	0.0329086	0.153982	0.45648	0.179357
a31	0.00663646	0.100013	0.0462883	0.0303608	0.120675	0.495444	0.200583
a20	0.0051078	0.0857751	0.044787	0.0300343	0.124859	0.494273	0.215164
</S>	0.00950696	0.107792	0.0564849	0.0421329	0.140816	0.450486	0.192781
