 	hai	già	mangiato	</S>
a38	0.214848	0.260838	0.283238	0.241076
a31	0.323605	0.426812	0.167036	0.082547
a20	0.192365	0.541852	0.158631	0.107152
a31	0.064724	0.306226	0.41542	0.21363
a27	0.0616982	0.308114	0.380935	0.249252
a31	0.0567742	0.263155	0.425878	0.254193
a20	0.0387221	0.169124	0.395498	0.396656
a31	0.0545023	0.17828	0.321595	0.445622
a39	0.0264778	0.105964	0.327289	0.540269
a20	0.0368505	0.128057	0.311778	0.523315
a10	0.0325811	0.0908656	0.262553	0.614
</S>	0.0394492	0.102442	0.246923	0.611185
