 	questa	casa	la	costruirono	cinquanta	anni	fa	</S>
a8	0.0804302	0.120352	0.162817	0.109481	0.115598	0.108736	0.148787	0.153798
a31	0.12673	0.185292	0.202746	0.172637	0.211593	0.0688584	0.0230957	0.00904807
a8	0.167584	0.24821	0.250956	0.135635	0.157091	0.0313501	0.00613329	0.00304026
a31	0.150667	0.154813	0.150379	0.101527	0.150181	0.14161	0.101375	0.0494487
a20	0.187524	0.252204	0.247756	0.120433	0.13973	0.039872	0.00852545	0.00395457
a31	0.176139	0.176898	0.160366	0.0790438	0.135055	0.150008	0.0883173	0.0341733
a24	0.227671	0.238692	0.211272	0.070827	0.0995706	0.0932133	0.0419162	0.0168382
a31	0.203391	0.211222	0.194572	0.082246	0.117515	0.105164	0.0605049	0.0253853
a28	0.21707	0.21974	0.189196	0.0562892	0.0779635	0.113304	0.0852394	0.041198
a17	0.185211	0.197197	0.18832	0.0805653	0.12598	0.114236	0.0746985	0.0337922
a31	0.118429	0.133015	0.139998	0.0649877	0.141291	0.137955	0.147686	0.116639
a28	0.201236	0.211153	0.193508	0.0669779	0.0884119	0.104878	0.0852763	0.0485601
a13	0.153063	0.17755	0.187241	0.0761788	0.127814	0.12019	0.102198	0.055766
a31	0.111832	0.130551	0.14354	0.0711845	0.142209	0.133467	0.146276	0.120941
a23	0.186775	0.20671	0.200775	0.0707971	0.0899431	0.0982696	0.0892577	0.0574725
a31	0.0820363	0.112787	0.159888	0.0613813	0.167951	0.106201	0.153905	0.15585
a18	0.164602	0.195413	0.207081	0.0769919	0.100022	0.0943129	0.0934886	0.0680888
a31	0.0956052	0.143035	0.208734	0.0646462	0.146299	0.102576	0.135344	0.10376
a18	0.150618	0.205528	0.248218	0.0752563	0.0859945	0.0729905	0.0890321	0.0723627
a31	0.0755035	0.127869	0.232354	0.0575146	0.154541	0.0838152	0.140166	0.128237
a24	0.117188	0.193929	0.293754	0.0654088	0.0837683	0.0571136	0.0952597	0.0935782
a17	0.0892778	0.1707	0.327562	0.0525902	0.096961	0.0529466	0.108309	0.101653
a20	0.0489408	0.0818154	0.180852	0.0428014	0.184498	0.0729596	0.158993	0.229139
</S>	0.045458	0.0846648	0.195023	0.0462482	0.153263	0.0617553	0.165006	0.248582
