 	e	forse	è	entrato	dalla	finestra	il	ladro	</S>
a33	0.107184	0.108304	0.0917862	0.0777159	0.133332	0.11964	0.132712	0.128844	0.100482
a31	0.0696844	0.121491	0.141671	0.146446	0.150448	0.139206	0.130383	0.069742	0.0309283
a37	0.0637075	0.139562	0.192948	0.20259	0.174612	0.0744657	0.0957109	0.0421389	0.0142636
a20	0.078391	0.108446	0.164302	0.167717	0.111023	0.0920805	0.153439	0.0893292	0.0352724
a28	0.0738471	0.101114	0.1526	0.154426	0.103223	0.0927027	0.161335	0.112809	0.0479444
a37	0.0691637	0.0934912	0.152495	0.150465	0.0945397	0.0840137	0.170544	0.128829	0.0564586
a18	0.0696473	0.093202	0.153196	0.148814	0.0943403	0.0820269	0.172059	0.129198	0.0575166
a31	0.0701023	0.0927469	0.143589	0.140857	0.091978	0.0901673	0.162131	0.137653	0.0707757
a0	0.0744414	0.100884	0.173369	0.167275	0.109426	0.0585409	0.160552	0.105612	0.0498987
a13	0.0810779	0.0981127	0.133557	0.140429	0.106389	0.10708	0.148375	0.118173	0.0668064
a31	0.0743531	0.0939473	0.131821	0.13194	0.0954109	0.0984398	0.148396	0.136464	0.0892279
a41	0.0878768	0.11702	0.170888	0.157814	0.119884	0.0654913	0.138285	0.0900665	0.0526746
a24	0.0863522	0.101851	0.137746	0.145561	0.116576	0.107337	0.148305	0.100096	0.0561751
a37	0.0792976	0.100447	0.147376	0.143197	0.106917	0.09547	0.158488	0.10952	0.0592873
a31	0.0755208	0.0923862	0.136785	0.134957	0.105926	0.0962684	0.164094	0.125483	0.06858
a28	0.104672	0.130203	0.156769	0.133052	0.137969	0.0645044	0.125588	0.0877878	0.0594541
a11	0.0759254	0.0781363	0.113144	0.136185	0.132871	0.117282	0.16615	0.113315	0.0669919
a39	0.058043	0.0602556	0.0945836	0.112903	0.122145	0.116364	0.180103	0.158092	0.0975101
a46	0.0518382	0.0518536	0.0810295	0.102701	0.120195	0.12045	0.17225	0.169882	0.129801
a49	0.0493638	0.047853	0.0750504	0.103091	0.120081	0.120926	0.171792	0.1727	0.139143
a31	0.0583371	0.0644926	0.0971052	0.0953393	0.120303	0.109396	0.181319	0.167798	0.10591
a33	0.0728085	0.0895798	0.0936774	0.0532921	0.168673	0.0760892	0.194591	0.154763	0.096526
</S>	0.0285583	0.0291551	0.0386145	0.0597208	0.15563	0.125207	0.190168	0.203224	0.169723
