 	mia	mamma	e	mio	padre	non	andarono	mai	in	Grecia	</S>
a46	0.10445	0.109998	0.110135	0.114075	0.112042	0.0810038	0.0437428	0.0683381	0.0668945	0.0766642	0.112655
a31	0.0280486	0.0534186	0.0991604	0.11779	0.116419	0.11255	0.115317	0.118109	0.104168	0.0805441	0.0544761
a17	0.0504911	0.06799	0.115675	0.140812	0.111298	0.114272	0.0890864	0.118566	0.0993691	0.0584361	0.0340034
a41	0.10164	0.104264	0.0993453	0.103837	0.0849985	0.0994911	0.0710135	0.0932643	0.093625	0.0763337	0.0721881
a31	0.116646	0.106445	0.0915295	0.0948554	0.0787693	0.100101	0.0646759	0.0866758	0.0925984	0.0787725	0.0889301
a38	0.160459	0.117002	0.0940929	0.0999661	0.0734938	0.0921764	0.0491227	0.0775928	0.0853018	0.0697071	0.0810859
a31	0.120385	0.10301	0.0832842	0.0855669	0.0737878	0.101654	0.0650687	0.0832543	0.0926152	0.0815089	0.109865
a17	0.18347	0.117418	0.0896626	0.0970263	0.0690614	0.0853737	0.0396212	0.0680639	0.080881	0.0722106	0.0972119
a31	0.126697	0.105339	0.0839572	0.0867238	0.0735232	0.0994921	0.0608107	0.0814941	0.090867	0.08025	0.110846
a39	0.193643	0.120555	0.0917451	0.0991578	0.0697514	0.0808353	0.0345787	0.0628388	0.0766107	0.0712551	0.0990286
a35	0.120713	0.106484	0.0913457	0.0942452	0.0807759	0.092151	0.0625921	0.0844213	0.0887261	0.0813162	0.0972289
a31	0.121013	0.104926	0.0847505	0.0879147	0.0762243	0.0965256	0.0569905	0.0800015	0.0890137	0.0811966	0.121443
a46	0.191263	0.123364	0.0929766	0.100017	0.0727921	0.0800858	0.0297706	0.0577819	0.0722705	0.0698275	0.109851
a38	0.119939	0.10908	0.0939259	0.0986596	0.0860827	0.0838139	0.0520532	0.0793058	0.0829652	0.0804221	0.113753
a13	0.128102	0.11236	0.0890817	0.0941278	0.0811675	0.0871409	0.0431202	0.071575	0.078064	0.0743568	0.140904
a11	0.137921	0.118438	0.0913966	0.0966081	0.0825408	0.0884508	0.0328361	0.0622846	0.0701182	0.0682101	0.151196
a13	0.132761	0.115308	0.0914059	0.0954638	0.0822092	0.0927238	0.0366223	0.0667253	0.0761604	0.0737761	0.136845
a31	0.130973	0.112293	0.0884588	0.091878	0.0794981	0.0951417	0.0409111	0.0697081	0.0799632	0.0759574	0.135217
a49	0.174428	0.130458	0.0981103	0.104672	0.0829799	0.0773541	0.0196873	0.0466128	0.0609499	0.0654194	0.139328
a13	0.136149	0.118774	0.0964622	0.102303	0.0862024	0.0794777	0.0358741	0.067797	0.0747698	0.0742428	0.127949
a20	0.136198	0.123144	0.0962118	0.106612	0.0894957	0.0667186	0.0276295	0.0572999	0.0630215	0.0646217	0.169048
a31	0.137378	0.128054	0.099964	0.114487	0.0943534	0.056329	0.0213765	0.0490708	0.0552403	0.0592091	0.184537
a8	0.18722	0.158128	0.1152	0.139527	0.100172	0.0328476	0.00482313	0.0162911	0.0231845	0.032898	0.189709
a31	0.0937499	0.0945081	0.0799536	0.111987	0.0859605	0.0323631	0.0276729	0.0656809	0.0693531	0.0832395	0.255532
a45	0.17101	0.15767	0.119005	0.163216	0.106642	0.0167176	0.00311144	0.0104709	0.0163849	0.0277898	0.207983
a31	0.0830483	0.0822611	0.0690283	0.0971676	0.0730963	0.0337242	0.0243377	0.0606747	0.0655669	0.0847161	0.326379
</S>	0.166241	0.15142	0.121604	0.18454	0.112041	0.00904098	0.00228034	0.00764238	0.0120935	0.0244823	0.208615
