 	il	muro	vuole	uno	specchio	</S>
a46	0.257043	0.220293	0.0846847	0.0916167	0.163374	0.182989
a31	0.238429	0.197277	0.236792	0.208994	0.0851474	0.0333601
a24	0.483474	0.109979	0.106895	0.153729	0.0967559	0.0491674
a37	0.258272	0.065651	0.0738492	0.225405	0.266489	0.110335
a18	0.191266	0.0548089	0.067723	0.241914	0.304337	0.139951
a20	0.133792	0.0554331	0.0873548	0.252704	0.29634	0.174375
a41	0.124067	0.0550467	0.0837521	0.243888	0.300415	0.192831
a31	0.121381	0.0535896	0.0737491	0.237552	0.311785	0.201944
a11	0.245846	0.048023	0.0330775	0.137669	0.332311	0.203073
a31	0.155737	0.0797483	0.126854	0.242278	0.241717	0.153666
</S>	0.419761	0.0512892	0.0216295	0.0530458	0.245853	0.208421
