 	puoi	non	parlare	di	questo	con	Anna	</S>
a31	0.137418	0.152179	0.145843	0.140404	0.101285	0.102905	0.116792	0.103174
a20	0.0753607	0.133336	0.188245	0.247122	0.161732	0.115771	0.0524361	0.0259978
a11	0.125775	0.122433	0.126322	0.192356	0.190005	0.131693	0.0727267	0.0386903
a10	0.128321	0.126267	0.130201	0.17477	0.174225	0.137695	0.0811362	0.0473849
a39	0.124124	0.108647	0.111451	0.183995	0.193935	0.13768	0.0897705	0.0503963
a7	0.116606	0.1109	0.119292	0.155276	0.160702	0.140659	0.117713	0.0788519
a37	0.12058	0.106635	0.113401	0.166808	0.176151	0.141307	0.107616	0.0675031
a8	0.123688	0.108534	0.114097	0.175163	0.183905	0.13838	0.0971681	0.0590653
a18	0.100945	0.105703	0.116813	0.145687	0.150428	0.134716	0.134327	0.11138
a46	0.122439	0.119312	0.125649	0.146099	0.147898	0.135539	0.115515	0.0875496
a31	0.104391	0.104655	0.115316	0.146242	0.151623	0.135218	0.133377	0.109179
a18	0.159023	0.142057	0.135665	0.175046	0.157555	0.106983	0.0703512	0.0533203
a24	0.117406	0.12082	0.129843	0.156423	0.157384	0.137311	0.105926	0.0748861
a28	0.120594	0.112409	0.121562	0.169465	0.174587	0.137619	0.0986206	0.0651435
a31	0.115699	0.110719	0.120707	0.16398	0.169307	0.137601	0.107757	0.0742304
a20	0.171967	0.1581	0.145829	0.183318	0.141856	0.0795184	0.064726	0.054686
a31	0.112909	0.142497	0.152084	0.167264	0.157057	0.126641	0.0812446	0.0603045
a3	0.210837	0.213384	0.160286	0.176263	0.0797949	0.0357615	0.0626851	0.0609894
a31	0.0973292	0.157466	0.172748	0.183366	0.154222	0.105383	0.0709461	0.0585403
a20	0.231183	0.287307	0.163906	0.141352	0.0351959	0.0140353	0.0561659	0.0708539
a31	0.0700343	0.167839	0.210514	0.19798	0.140527	0.0795464	0.069068	0.0644922
</S>	0.225274	0.367391	0.153585	0.0992303	0.0215831	0.00795832	0.0447572	0.0802209
