 	Marika	non	ha	mangiato	mai	un	rustico	</S>
a8	0.0785665	0.121197	0.119619	0.16372	0.115294	0.120971	0.128469	0.152164
a31	0.0414279	0.140327	0.176284	0.194809	0.190782	0.162184	0.0773522	0.0168336
a20	0.0641212	0.228322	0.220627	0.179541	0.176996	0.09927	0.0233343	0.00778861
a31	0.0941408	0.149376	0.122801	0.123209	0.161169	0.18564	0.12682	0.0368451
a37	0.118563	0.220302	0.162456	0.124173	0.148267	0.138199	0.0663612	0.0216786
a14	0.0954562	0.155448	0.123063	0.114487	0.151749	0.183181	0.134748	0.0418672
a10	0.0864214	0.141153	0.116539	0.116244	0.150864	0.183168	0.152678	0.0529323
a31	0.0809314	0.125835	0.101567	0.099364	0.134759	0.185775	0.1899	0.0818687
a37	0.11572	0.183721	0.127595	0.0935398	0.12044	0.159476	0.145054	0.0544525
a10	0.0692902	0.126465	0.120809	0.137576	0.162176	0.186928	0.143077	0.0536796
a14	0.0571175	0.101703	0.092582	0.107043	0.138481	0.190983	0.200581	0.111509
a0	0.0498681	0.093514	0.0924182	0.119456	0.145859	0.190213	0.193222	0.11545
a20	0.0373333	0.0718238	0.0794809	0.119258	0.141828	0.186344	0.199738	0.164194
a33	0.0395668	0.0759246	0.0850525	0.125563	0.141515	0.182181	0.193495	0.156703
a20	0.0303907	0.0502283	0.0599914	0.119972	0.126617	0.194225	0.220348	0.198229
a31	0.0359022	0.0684521	0.0838734	0.133282	0.13964	0.177071	0.189443	0.172336
a0	0.0494747	0.0987682	0.0834061	0.106853	0.109679	0.171702	0.217492	0.162626
a41	0.021549	0.0420271	0.0534771	0.123833	0.127931	0.203544	0.230474	0.197165
a31	0.0174997	0.0373835	0.046011	0.113548	0.11721	0.205817	0.248863	0.213668
a37	0.034797	0.0767722	0.0697141	0.120152	0.0876355	0.170555	0.242072	0.198303
a31	0.0218219	0.0386436	0.0426215	0.114518	0.101589	0.21253	0.27073	0.197547
a18	0.0760609	0.126842	0.0870998	0.118807	0.0503413	0.117159	0.191452	0.232239
a8	0.0521567	0.0734152	0.0774786	0.147496	0.115798	0.176887	0.201705	0.155063
a20	0.0469672	0.063384	0.0667356	0.128163	0.117578	0.173325	0.204258	0.19959
</S>	0.0287996	0.0382784	0.0400834	0.101656	0.0807266	0.192402	0.278943	0.239111
